T	<e>	d<e>	cv
5.100	-0.192	0.031	0.037
5.000	-0.199	0.031	0.039
4.900	-0.200	0.030	0.039
4.800	-0.206	0.032	0.045
4.700	-0.210	0.030	0.042
4.600	-0.214	0.030	0.045
4.500	-0.218	0.031	0.048
4.400	-0.225	0.030	0.048
4.300	-0.228	0.030	0.050
4.200	-0.233	0.030	0.054
4.100	-0.238	0.030	0.054
4.000	-0.246	0.032	0.064
3.900	-0.251	0.031	0.063
3.800	-0.257	0.029	0.061
3.700	-0.263	0.030	0.067
3.600	-0.270	0.030	0.070
3.500	-0.279	0.029	0.071
3.400	-0.285	0.029	0.075
3.300	-0.294	0.030	0.087
3.200	-0.302	0.030	0.090
3.100	-0.312	0.030	0.098
3.000	-0.322	0.029	0.095
2.900	-0.332	0.029	0.102
2.800	-0.341	0.029	0.112
2.700	-0.354	0.030	0.123
2.600	-0.366	0.030	0.138
2.500	-0.380	0.029	0.137
2.400	-0.394	0.027	0.130
2.300	-0.410	0.028	0.152
2.200	-0.426	0.028	0.168
2.100	-0.444	0.028	0.182
2.000	-0.462	0.028	0.198
1.900	-0.484	0.028	0.226
1.800	-0.505	0.027	0.230
1.700	-0.529	0.027	0.248
1.600	-0.555	0.026	0.277
1.500	-0.582	0.025	0.292
1.400	-0.614	0.025	0.317
1.300	-0.645	0.023	0.330
1.200	-0.683	0.023	0.370
0.930	-0.792	0.019	0.407
0.920	-0.795	0.019	0.456
0.910	-0.800	0.018	0.408
0.900	-0.804	0.018	0.405
0.890	-0.809	0.019	0.447
0.880	-0.812	0.018	0.443
0.870	-0.817	0.017	0.394
0.860	-0.822	0.018	0.429
0.850	-0.827	0.018	0.479
0.840	-0.830	0.018	0.473
0.760	-0.866	0.016	0.455
0.710	-0.887	0.014	0.373
0.700	-0.891	0.014	0.387
0.650	-0.912	0.013	0.421
0.640	-0.915	0.012	0.382
0.630	-0.921	0.012	0.356
0.620	-0.924	0.012	0.389
0.610	-0.927	0.011	0.342
0.600	-0.931	0.011	0.339
0.590	-0.935	0.011	0.354
0.580	-0.938	0.011	0.387
0.570	-0.942	0.011	0.358
0.560	-0.945	0.010	0.327
0.550	-0.949	0.010	0.310
0.540	-0.952	0.010	0.312
0.530	-0.955	0.009	0.306
0.520	-0.958	0.009	0.279
0.510	-0.961	0.009	0.275
0.500	-0.964	0.008	0.257
0.490	-0.967	0.008	0.253
0.480	-0.969	0.008	0.269
0.470	-0.972	0.008	0.272
0.460	-0.974	0.007	0.236
0.450	-0.976	0.007	0.219
0.440	-0.979	0.006	0.191
0.430	-0.981	0.006	0.205
0.420	-0.983	0.006	0.185
0.410	-0.984	0.005	0.167
0.400	-0.986	0.005	0.161
0.390	-0.988	0.005	0.141
0.380	-0.989	0.005	0.136
0.370	-0.991	0.004	0.095
0.360	-0.992	0.004	0.108
0.350	-0.993	0.004	0.093
0.340	-0.994	0.003	0.072
0.330	-0.995	0.003	0.061
0.320	-0.996	0.003	0.060
0.310	-0.997	0.002	0.029
0.300	-0.997	0.002	0.033
0.290	-0.998	0.002	0.016
0.280	-0.998	0.002	0.014
0.270	-0.999	0.002	0.015
0.260	-0.999	0.001	0.012
0.250	-0.999	0.001	0.004
0.240	-0.999	0.001	0.000
0.230	-1.000	0.001	0.005
0.220	-1.000	0.001	0.003
0.210	-1.000	0.000	-0.001
