T	<m>	d<m>	suscep
5.100	0.192	0.031	193.900
5.000	0.199	0.031	199.657
4.900	0.200	0.030	194.686
4.800	0.206	0.032	221.588
4.700	0.210	0.030	202.577
4.600	0.214	0.030	211.422
4.500	0.218	0.031	218.997
4.400	0.225	0.030	216.961
4.300	0.228	0.030	221.592
4.200	0.233	0.030	230.814
4.100	0.238	0.030	228.048
4.000	0.246	0.032	260.647
3.900	0.251	0.031	251.993
3.800	0.257	0.029	237.942
3.700	0.263	0.030	253.349
3.600	0.270	0.030	258.220
3.500	0.279	0.029	254.953
3.400	0.285	0.029	262.121
3.300	0.294	0.030	294.408
3.200	0.302	0.030	295.969
3.100	0.312	0.030	312.087
3.000	0.322	0.029	292.497
2.900	0.332	0.029	302.540
2.800	0.341	0.029	320.095
2.700	0.354	0.030	339.682
2.600	0.366	0.030	366.599
2.500	0.380	0.029	350.900
2.400	0.394	0.027	318.366
2.300	0.410	0.028	357.609
2.200	0.426	0.028	378.153
2.100	0.444	0.028	391.049
2.000	0.462	0.028	406.203
1.900	0.484	0.028	439.605
1.800	0.505	0.027	423.958
1.700	0.529	0.027	432.445
1.600	0.555	0.026	453.184
1.500	0.582	0.025	448.479
1.400	0.614	0.025	454.063
1.300	0.645	0.023	438.918
1.200	0.683	0.023	454.427
1.100	0.720	0.022	463.466
1.000	0.762	0.020	425.812
0.900	0.804	0.019	400.139
0.800	0.848	0.017	373.828
0.700	0.891	0.014	279.732
0.600	0.931	0.011	223.646
0.500	0.964	0.008	148.250
0.400	0.987	0.005	73.281
0.300	0.998	0.002	1.667
0.200	1.000	0.000	-0.313
