k		corr_k
0		1.000000
10		0.995418
20		0.990751
30		0.986032
40		0.981369
50		0.976756
60		0.972169
70		0.967553
80		0.962945
90		0.958398
100		0.953923
110		0.949472
120		0.945060
130		0.940686
140		0.936314
150		0.932089
160		0.927886
170		0.923740
180		0.919671
190		0.915596
200		0.911637
210		0.907668
220		0.903767
230		0.899895
240		0.896126
250		0.892384
260		0.888626
270		0.884904
280		0.881234
290		0.877509
300		0.873876
310		0.870290
320		0.866690
330		0.863157
340		0.859706
350		0.856291
360		0.852942
370		0.849607
380		0.846286
390		0.842970
400		0.839706
410		0.836552
420		0.833326
430		0.830078
440		0.826882
450		0.823689
460		0.820548
470		0.817345
480		0.814250
490		0.811219
500		0.808187
510		0.805220
520		0.802241
530		0.799356
540		0.796519
550		0.793635
560		0.790792
570		0.788024
580		0.785279
590		0.782535
600		0.779739
610		0.776961
620		0.774197
630		0.771433
640		0.768694
650		0.765930
660		0.763167
670		0.760414
680		0.757657
690		0.754908
700		0.752240
710		0.749550
720		0.746902
730		0.744240
740		0.741574
750		0.738905
760		0.736298
770		0.733762
780		0.731233
790		0.728679
800		0.726170
810		0.723697
820		0.721202
830		0.718649
840		0.716130
850		0.713657
860		0.711134
870		0.708644
880		0.706218
890		0.703745
900		0.701268
910		0.698820
920		0.696321
930		0.693849
940		0.691422
950		0.688920
960		0.686487
970		0.684129
980		0.681737
990		0.679299
1000		0.676925
1010		0.674679
1020		0.672422
1030		0.670184
1040		0.667917
1050		0.665685
1060		0.663478
1070		0.661324
1080		0.659184
1090		0.656986
1100		0.654797
1110		0.652640
1120		0.650506
1130		0.648398
1140		0.646239
1150		0.644057
1160		0.641867
1170		0.639731
1180		0.637564
1190		0.635393
1200		0.633260
1210		0.631154
1220		0.628982
1230		0.626751
1240		0.624542
1250		0.622366
1260		0.620233
1270		0.618117
1280		0.616065
1290		0.614084
1300		0.612050
1310		0.609970
1320		0.607898
1330		0.605911
1340		0.603947
1350		0.601971
1360		0.599948
1370		0.597979
1380		0.596054
1390		0.594074
1400		0.592189
1410		0.590340
1420		0.588524
1430		0.586719
1440		0.584908
1450		0.583057
1460		0.581257
1470		0.579456
1480		0.577623
1490		0.575842
1500		0.574070
1510		0.572295
1520		0.570551
1530		0.568777
1540		0.566964
1550		0.565159
1560		0.563356
1570		0.561582
1580		0.559795
1590		0.558036
1600		0.556306
1610		0.554592
1620		0.552867
1630		0.551182
1640		0.549463
1650		0.547798
1660		0.546165
1670		0.544511
1680		0.542898
1690		0.541266
1700		0.539665
1710		0.538050
1720		0.536415
1730		0.534818
1740		0.533284
1750		0.531746
1760		0.530188
1770		0.528602
1780		0.527006
1790		0.525468
1800		0.523913
1810		0.522372
1820		0.520806
1830		0.519234
1840		0.517651
1850		0.516125
1860		0.514635
1870		0.513169
1880		0.511735
1890		0.510338
1900		0.508949
1910		0.507588
1920		0.506214
1930		0.504834
1940		0.503475
1950		0.502110
1960		0.500763
1970		0.499463
1980		0.498188
1990		0.496911
2000		0.495620
2010		0.494340
2020		0.493093
2030		0.491835
2040		0.490561
2050		0.489247
2060		0.487955
2070		0.486734
2080		0.485534
2090		0.484317
2100		0.483133
2110		0.481871
2120		0.480630
2130		0.479426
2140		0.478287
2150		0.477184
2160		0.476126
2170		0.475072
2180		0.473954
2190		0.472890
2200		0.471841
2210		0.470841
2220		0.469830
2230		0.468802
2240		0.467781
2250		0.466781
2260		0.465775
2270		0.464802
2280		0.463791
2290		0.462778
2300		0.461707
2310		0.460646
2320		0.459596
2330		0.458490
2340		0.457360
2350		0.456275
2360		0.455248
2370		0.454244
