T	<e>	d<e>	cv
4.100	-0.540	0.051	0.160
4.060	-0.547	0.052	0.168
4.020	-0.556	0.052	0.172
3.980	-0.560	0.052	0.174
3.940	-0.567	0.052	0.176
3.900	-0.575	0.053	0.188
3.860	-0.581	0.053	0.190
3.820	-0.590	0.053	0.194
3.780	-0.599	0.052	0.197
3.740	-0.607	0.053	0.202
3.700	-0.615	0.053	0.213
3.660	-0.624	0.053	0.216
3.620	-0.631	0.055	0.232
3.580	-0.641	0.053	0.223
3.540	-0.651	0.055	0.245
3.500	-0.661	0.054	0.244
3.460	-0.670	0.054	0.251
3.420	-0.682	0.055	0.269
3.380	-0.691	0.056	0.283
3.340	-0.700	0.056	0.285
3.300	-0.715	0.056	0.293
3.260	-0.727	0.056	0.305
3.220	-0.739	0.057	0.322
3.180	-0.753	0.056	0.319
3.140	-0.765	0.057	0.334
3.100	-0.779	0.058	0.359
3.060	-0.793	0.058	0.366
3.020	-0.809	0.058	0.381
2.980	-0.823	0.060	0.408
2.940	-0.842	0.060	0.430
2.900	-0.861	0.060	0.435
2.860	-0.880	0.062	0.476
2.820	-0.896	0.062	0.501
2.780	-0.920	0.065	0.565
2.740	-0.941	0.065	0.574
2.700	-0.965	0.066	0.604
2.660	-0.989	0.068	0.660
2.620	-1.012	0.068	0.698
2.580	-1.041	0.068	0.707
2.540	-1.073	0.071	0.798
2.500	-1.109	0.073	0.875
2.460	-1.153	0.077	1.015
2.420	-1.197	0.079	1.100
2.380	-1.232	0.085	1.316
2.340	-1.310	0.093	1.632
2.300	-1.383	0.100	1.927
2.260	-1.439	0.093	1.735
2.220	-1.511	0.087	1.592
2.180	-1.572	0.077	1.293
2.140	-1.621	0.069	1.059
2.100	-1.666	0.063	0.931
2.060	-1.700	0.059	0.845
2.020	-1.731	0.055	0.753
1.980	-1.760	0.051	0.690
1.940	-1.785	0.049	0.663
1.900	-1.811	0.045	0.575
1.860	-1.830	0.042	0.521
1.820	-1.849	0.040	0.487
1.780	-1.867	0.036	0.418
1.740	-1.884	0.034	0.387
1.700	-1.899	0.031	0.341
1.660	-1.911	0.029	0.317
1.620	-1.922	0.026	0.287
1.580	-1.933	0.025	0.267
1.540	-1.943	0.022	0.239
1.500	-1.951	0.021	0.223
1.460	-1.959	0.019	0.194
1.420	-1.965	0.017	0.164
1.380	-1.971	0.016	0.136
1.340	-1.976	0.014	0.112
1.300	-1.980	0.013	0.082
1.260	-1.984	0.011	0.054
1.220	-1.987	0.010	0.038
1.180	-1.990	0.009	0.025
1.140	-1.992	0.008	0.013
1.100	-1.994	0.007	0.002
1.060	-1.995	0.006	0.001
1.020	-1.997	0.005	0.000
0.980	-1.998	0.004	-0.001
0.940	-1.998	0.004	-0.001
0.900	-1.999	0.003	0.000
0.860	-1.999	0.002	0.001
0.820	-2.000	0.002	-0.000
0.780	-2.000	0.002	-0.000
0.740	-2.000	0.001	0.000
0.700	-2.000	0.001	0.000
0.660	-2.000	0.001	0.000
0.620	-2.000	0.000	0.001
0.580	-2.000	0.000	0.000
0.540	-2.000	0.000	-0.001
0.500	-2.000	0.000	0.000
0.460	-2.000	0.000	-0.001
0.420	-2.000	0.000	0.000
0.380	-2.000	0.000	0.000
0.340	-2.000	0.000	0.000
0.300	-2.000	0.000	0.000
0.260	-2.000	0.000	0.000
0.220	-2.000	0.000	0.000
0.180	-2.000	0.000	0.000
0.140	-2.000	0.000	0.000
