T	<e>	d<e>	cv
4.100	-0.038	0.046	0.129
4.060	-0.077	0.044	0.119
4.020	-0.191	0.090	0.513
3.980	-0.055	0.049	0.157
3.940	-0.018	0.044	0.126
3.900	-0.046	0.052	0.181
3.860	-0.246	0.076	0.397
3.820	-0.259	0.077	0.420
3.780	-0.208	0.087	0.536
3.740	-0.041	0.052	0.196
3.700	-0.172	0.052	0.202
3.660	-0.079	0.042	0.137
3.620	-0.136	0.050	0.193
3.580	-0.136	0.040	0.130
3.540	-0.081	0.051	0.209
3.500	-0.185	0.043	0.158
3.460	-0.073	0.063	0.335
3.420	-0.182	0.072	0.458
3.380	-0.285	0.113	1.140
3.340	-0.040	0.083	0.634
3.300	0.016	0.065	0.397
3.260	-0.068	0.061	0.355
3.220	-0.150	0.050	0.246
3.180	-0.212	0.057	0.329
3.140	-0.216	0.048	0.242
3.100	-0.256	0.068	0.499
3.060	-0.132	0.045	0.220
3.020	-0.309	0.054	0.323
2.980	-0.194	0.051	0.296
2.940	-0.273	0.116	1.582
2.900	-0.275	0.049	0.291
2.860	-0.249	0.039	0.190
2.820	-0.120	0.066	0.565
2.780	-0.166	0.040	0.215
2.740	-0.107	0.049	0.331
2.700	-0.274	0.067	0.629
2.660	-0.218	0.069	0.692
2.620	-0.114	0.074	0.816
2.580	-0.262	0.054	0.446
2.540	-0.244	0.061	0.583
2.500	-0.243	0.060	0.591
2.460	-0.352	0.074	0.927
2.420	-0.039	0.115	2.303
2.380	-0.204	0.050	0.460
2.340	-0.351	0.057	0.599
2.300	-0.199	0.066	0.847
2.260	-0.360	0.052	0.546
2.220	-0.423	0.066	0.902
2.180	-0.372	0.082	1.464
2.140	-0.300	0.044	0.430
2.100	-0.297	0.049	0.555
2.060	-0.202	0.079	1.489
2.020	-0.370	0.043	0.460
1.980	-0.440	0.048	0.600
1.940	-0.445	0.044	0.516
1.900	-0.441	0.040	0.450
1.860	-0.491	0.042	0.526
1.820	-0.422	0.049	0.744
1.780	-0.489	0.041	0.543
1.740	-0.511	0.062	1.303
1.700	-0.656	0.069	1.692
1.660	-0.598	0.062	1.439
1.620	-0.699	0.071	1.965
1.580	-0.686	0.073	2.183
1.540	-0.808	0.039	0.642
1.500	-0.736	0.052	1.210
1.460	-0.774	0.036	0.622
1.420	-0.847	0.036	0.662
1.380	-0.894	0.031	0.513
1.340	-0.893	0.028	0.431
1.300	-0.948	0.032	0.622
1.260	-0.913	0.025	0.388
1.220	-0.952	0.023	0.355
1.180	-0.952	0.019	0.264
1.140	-0.974	0.023	0.410
1.100	-0.968	0.014	0.177
1.060	-0.959	0.014	0.168
1.020	-0.985	0.012	0.137
0.980	-0.977	0.011	0.123
0.940	-0.985	0.009	0.101
0.900	-0.992	0.008	0.081
0.860	-0.992	0.007	0.068
0.820	-0.999	0.006	0.052
0.780	-1.000	0.005	0.029
0.740	-0.997	0.004	0.025
0.700	-0.998	0.003	0.020
0.660	-0.999	0.002	0.012
0.620	-0.999	0.002	0.008
0.580	-1.000	0.001	0.007
0.540	-1.000	0.001	0.005
0.500	-1.000	0.001	0.002
0.460	-1.000	0.000	0.001
0.420	-1.000	0.000	0.000
0.380	-1.000	0.000	0.000
0.340	-1.000	0.000	0.000
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
