T	<m>	d<m>	suscep
4.100	-0.002	0.039	380.089
4.060	0.003	0.041	424.569
4.020	-0.003	0.045	523.664
3.980	-0.002	0.040	426.488
3.940	-0.002	0.041	451.688
3.900	-0.002	0.043	508.628
3.860	-0.002	0.042	477.119
3.820	0.002	0.042	479.382
3.780	-0.000	0.044	539.265
3.740	-0.001	0.042	486.649
3.700	-0.003	0.043	525.492
3.660	-0.002	0.041	484.466
3.620	-0.004	0.043	523.636
3.580	0.001	0.044	558.064
3.540	-0.003	0.042	525.618
3.500	-0.000	0.044	577.807
3.460	0.001	0.042	527.465
3.420	0.004	0.044	606.504
3.380	0.002	0.044	612.077
3.340	0.002	0.044	599.702
3.300	0.000	0.044	628.417
3.260	-0.000	0.045	649.754
3.220	0.003	0.046	689.771
3.180	0.004	0.048	758.893
3.140	-0.003	0.046	716.133
3.100	0.000	0.045	670.681
3.060	0.004	0.048	788.835
3.020	-0.004	0.045	698.652
2.980	-0.002	0.047	783.617
2.940	-0.002	0.051	933.076
2.900	-0.005	0.045	734.400
2.860	0.001	0.048	845.923
2.820	-0.003	0.050	940.968
2.780	-0.001	0.052	1012.014
2.740	0.003	0.048	900.013
2.700	0.005	0.053	1083.523
2.660	0.005	0.049	941.345
2.620	0.002	0.053	1118.712
2.580	0.001	0.052	1094.080
2.540	0.002	0.054	1223.054
2.500	0.005	0.053	1157.569
2.460	-0.005	0.052	1156.031
2.420	-0.002	0.057	1389.070
2.380	-0.001	0.056	1374.087
2.340	-0.004	0.055	1362.370
2.300	-0.001	0.054	1308.120
2.260	0.001	0.058	1579.694
2.220	0.008	0.057	1508.240
2.180	0.002	0.064	1967.011
2.140	0.001	0.059	1680.340
2.100	-0.004	0.066	2155.329
2.060	0.005	0.065	2167.047
2.020	-0.009	0.068	2425.533
1.980	0.001	0.064	2177.057
1.940	-0.003	0.066	2345.885
1.900	0.000	0.071	2794.513
1.860	-0.004	0.075	3188.741
1.820	-0.002	0.078	3525.580
1.780	0.000	0.076	3378.229
1.740	-0.013	0.077	3544.552
1.700	0.009	0.077	3685.942
1.660	0.002	0.086	4628.500
1.620	-0.016	0.085	4645.811
1.580	-0.008	0.091	5522.648
1.540	-0.016	0.102	7095.622
1.500	-0.007	0.122	10413.990
1.460	0.013	0.115	9503.439
1.420	0.050	0.103	7786.235
1.380	-0.064	0.149	16802.959
1.340	0.036	0.138	14938.565
1.300	0.060	0.181	26386.957
1.260	-0.083	0.220	40349.594
1.220	0.064	0.281	67913.844
1.180	-0.452	0.199	35034.293
1.140	-0.678	0.097	8598.302
1.100	-0.802	0.067	4283.807
1.060	-0.865	0.037	1328.302
1.020	-0.902	0.026	694.240
0.980	-0.925	0.024	597.577
0.940	-0.942	0.018	375.465
0.900	-0.956	0.014	223.056
0.860	-0.967	0.011	156.977
0.820	-0.975	0.009	95.351
0.780	-0.983	0.007	71.554
0.740	-0.987	0.006	55.236
0.700	-0.992	0.005	32.321
0.660	-0.994	0.004	19.981
0.620	-0.996	0.003	12.903
0.580	-0.998	0.002	6.466
0.540	-0.999	0.002	2.315
0.500	-0.999	0.001	1.500
0.460	-1.000	0.001	0.272
0.420	-1.000	0.001	0.298
0.380	-1.000	0.000	0.000
0.340	-1.000	0.000	0.000
0.300	-1.000	0.000	0.000
0.260	-1.000	0.000	0.000
0.220	-1.000	0.000	0.000
0.180	-1.000	0.000	0.000
0.140	-1.000	0.000	0.000
