T	<m>	d<m>	suscep
4.100	-0.006	0.059	876.491
4.060	-0.002	0.056	811.342
4.020	-0.002	0.059	917.094
3.980	0.001	0.060	952.579
3.940	0.001	0.056	832.818
3.900	0.006	0.059	929.453
3.860	-0.000	0.061	1010.469
3.820	-0.004	0.061	1018.718
3.780	0.004	0.058	934.428
3.740	-0.004	0.061	1029.688
3.700	0.002	0.061	1044.301
3.660	0.008	0.066	1240.765
3.620	0.005	0.065	1220.814
3.580	0.005	0.066	1283.619
3.540	-0.008	0.064	1221.029
3.500	0.004	0.065	1265.768
3.460	-0.011	0.070	1471.636
3.420	0.005	0.064	1243.731
3.380	-0.006	0.072	1592.589
3.340	0.002	0.068	1471.370
3.300	-0.007	0.074	1725.838
3.260	-0.004	0.068	1492.488
3.220	0.012	0.076	1877.383
3.180	-0.017	0.073	1779.660
3.140	-0.001	0.076	1926.621
3.100	0.015	0.076	1956.633
3.060	-0.007	0.082	2304.762
3.020	0.009	0.087	2614.527
2.980	-0.001	0.091	2922.660
2.940	-0.009	0.082	2390.774
2.900	0.012	0.086	2657.964
2.860	-0.009	0.085	2626.630
2.820	-0.014	0.102	3905.844
2.780	-0.017	0.084	2653.537
2.740	-0.001	0.097	3574.449
2.700	-0.010	0.106	4345.286
2.660	0.031	0.106	4451.819
2.620	0.002	0.115	5292.049
2.580	0.001	0.122	6037.169
2.540	0.038	0.118	5735.523
2.500	0.009	0.134	7564.876
2.460	-0.028	0.151	9704.324
2.420	-0.015	0.137	8094.545
2.380	0.049	0.197	17074.938
2.340	-0.082	0.166	12301.232
2.300	-0.053	0.226	23253.908
2.260	-0.045	0.141	9165.687
2.220	0.086	0.226	24177.932
2.180	0.366	0.230	25477.676
2.140	0.346	0.324	51353.012
2.100	0.460	0.269	36033.848
2.060	0.679	0.134	9121.480
2.020	0.380	0.274	38983.039
1.980	0.735	0.176	16370.107
1.940	0.841	0.053	1532.764
1.900	0.861	0.047	1207.698
1.860	0.892	0.031	530.578
1.820	0.897	0.033	642.033
1.780	0.925	0.020	243.504
1.740	0.928	0.024	334.626
1.700	0.938	0.024	363.529
1.660	0.948	0.016	155.196
1.620	0.957	0.013	111.381
1.580	0.963	0.011	85.918
1.540	0.967	0.015	148.539
1.500	0.972	0.010	74.667
1.460	0.977	0.009	62.928
1.420	0.982	0.008	46.391
1.380	0.985	0.006	30.027
1.340	0.987	0.006	29.058
1.300	0.990	0.005	19.904
1.260	0.992	0.005	17.907
1.220	0.993	0.004	11.885
1.180	0.995	0.004	9.375
1.140	0.995	0.003	7.511
1.100	0.997	0.003	5.511
1.060	0.997	0.003	3.950
1.020	0.998	0.002	2.267
0.980	0.999	0.002	1.339
0.940	0.999	0.002	0.997
0.900	0.999	0.001	0.486
0.860	1.000	0.001	0.291
0.820	1.000	0.001	0.381
0.780	1.000	0.001	0.000
0.740	1.000	0.000	0.000
0.700	1.000	0.000	0.179
0.660	1.000	0.000	0.000
0.620	1.000	0.000	0.000
0.580	1.000	0.000	0.000
0.540	1.000	0.000	0.000
0.500	1.000	0.000	0.000
0.460	1.000	0.000	0.000
0.420	1.000	0.000	0.000
0.380	1.000	0.000	0.000
0.340	1.000	0.000	0.000
0.300	1.000	0.000	0.000
0.260	1.000	0.000	0.000
0.220	1.000	0.000	0.000
0.180	1.000	0.000	0.000
0.140	1.000	0.000	0.000
