k		corr_k
0		1.000000
100		0.907424
200		0.823669
300		0.747820
400		0.677151
500		0.612021
600		0.550715
700		0.496349
800		0.447305
900		0.406088
1000		0.369222
1100		0.333098
1200		0.302048
1300		0.274215
1400		0.250905
1500		0.231268
1600		0.212748
1700		0.196420
1800		0.180881
1900		0.170017
2000		0.160613
2100		0.151094
2200		0.141842
2300		0.133402
2400		0.125065
2500		0.115231
2600		0.106281
2700		0.098580
2800		0.090927
2900		0.086813
3000		0.083117
3100		0.079944
3200		0.078359
3300		0.075942
3400		0.076793
3500		0.076024
3600		0.073656
3700		0.071759
3800		0.065890
3900		0.059649
4000		0.052794
4100		0.045472
4200		0.039115
4300		0.035412
4400		0.032576
4500		0.028895
4600		0.025204
4700		0.022018
4800		0.020312
4900		0.020376
5000		0.017945
5100		0.015280
5200		0.011331
5300		0.007702
5400		0.003178
5500		0.001316
5600		0.001149
5700		0.000847
5800		0.000330
5900		0.001701
6000		0.003742
6100		0.007369
6200		0.011784
6300		0.017371
6400		0.021995
6500		0.024176
6600		0.026883
6700		0.027276
6800		0.026430
6900		0.023681
7000		0.020830
7100		0.020082
7200		0.018011
7300		0.014114
7400		0.011139
7500		0.011690
7600		0.015207
7700		0.017754
7800		0.019870
7900		0.023638
8000		0.026625
8100		0.027803
8200		0.027270
8300		0.025555
8400		0.023215
8500		0.023043
8600		0.024243
8700		0.025267
8800		0.026946
8900		0.028100
9000		0.029473
9100		0.030051
9200		0.030776
9300		0.031608
9400		0.033967
9500		0.033864
9600		0.034522
9700		0.034450
9800		0.034364
9900		0.033168
10000		0.031667
10100		0.031248
10200		0.029572
10300		0.026939
10400		0.022997
10500		0.019566
10600		0.018525
10700		0.018482
10800		0.018078
10900		0.019719
11000		0.022083
11100		0.024447
11200		0.025752
11300		0.024890
11400		0.024753
11500		0.024185
11600		0.023665
11700		0.023716
11800		0.022566
11900		0.021039
12000		0.021048
12100		0.023287
12200		0.024768
12300		0.027003
12400		0.028094
12500		0.028282
12600		0.027504
12700		0.026455
12800		0.023890
12900		0.018506
13000		0.013030
13100		0.009308
13200		0.006007
13300		0.002029
13400		-0.001976
13500		-0.004331
13600		-0.006230
13700		-0.007030
13800		-0.007028
13900		-0.008126
14000		-0.009613
14100		-0.008156
14200		-0.005164
14300		-0.001220
14400		0.001376
14500		0.001006
14600		0.001387
14700		0.001214
14800		0.000897
14900		-0.000626
15000		-0.005064
15100		-0.009067
15200		-0.014382
15300		-0.019850
15400		-0.021255
15500		-0.021850
15600		-0.022395
15700		-0.023555
15800		-0.025836
15900		-0.028908
16000		-0.033553
16100		-0.035850
16200		-0.036858
16300		-0.040158
16400		-0.044089
16500		-0.046041
16600		-0.048805
16700		-0.053015
16800		-0.059969
16900		-0.068296
17000		-0.075560
17100		-0.080562
17200		-0.084979
17300		-0.086872
17400		-0.087728
17500		-0.085904
17600		-0.082066
17700		-0.077969
17800		-0.073057
17900		-0.069935
18000		-0.065778
18100		-0.061043
18200		-0.057835
18300		-0.055013
18400		-0.051296
18500		-0.046710
18600		-0.041139
18700		-0.037951
18800		-0.035459
18900		-0.034269
19000		-0.034288
19100		-0.034928
19200		-0.034352
19300		-0.033585
19400		-0.033229
19500		-0.033023
19600		-0.035528
19700		-0.039119
19800		-0.043768
