T	<e>	d<e>	cv
4.100	-0.541	0.025	0.156
4.060	-0.546	0.026	0.163
4.020	-0.553	0.026	0.167
3.980	-0.560	0.025	0.167
3.940	-0.567	0.026	0.185
3.900	-0.577	0.027	0.191
3.860	-0.583	0.026	0.189
3.820	-0.591	0.027	0.203
3.780	-0.599	0.026	0.194
3.740	-0.606	0.027	0.215
3.700	-0.614	0.025	0.191
3.660	-0.622	0.026	0.213
3.620	-0.633	0.028	0.238
3.580	-0.642	0.026	0.220
3.540	-0.651	0.027	0.231
3.500	-0.660	0.027	0.246
3.460	-0.670	0.028	0.265
3.420	-0.680	0.027	0.251
3.380	-0.692	0.026	0.241
3.340	-0.701	0.028	0.288
3.300	-0.714	0.028	0.294
3.260	-0.726	0.029	0.330
3.220	-0.740	0.028	0.318
3.180	-0.752	0.028	0.316
3.140	-0.766	0.028	0.335
3.100	-0.776	0.029	0.370
3.060	-0.793	0.029	0.371
3.020	-0.809	0.030	0.413
2.980	-0.826	0.030	0.406
2.940	-0.842	0.031	0.445
2.900	-0.860	0.031	0.476
2.860	-0.878	0.029	0.429
2.820	-0.897	0.032	0.525
2.780	-0.918	0.032	0.527
2.740	-0.943	0.032	0.561
2.700	-0.962	0.032	0.594
2.660	-0.988	0.036	0.735
2.620	-1.014	0.034	0.674
2.580	-1.040	0.033	0.680
2.540	-1.072	0.034	0.755
2.500	-1.108	0.036	0.861
2.460	-1.142	0.037	0.938
2.420	-1.181	0.042	1.225
2.380	-1.219	0.041	1.223
2.340	-1.276	0.047	1.649
2.300	-1.361	0.045	1.572
2.260	-1.409	0.050	2.019
2.220	-1.519	0.042	1.496
2.180	-1.568	0.041	1.460
2.140	-1.624	0.033	0.990
2.100	-1.662	0.033	1.031
2.060	-1.699	0.030	0.859
2.020	-1.731	0.027	0.753
1.980	-1.761	0.026	0.715
1.940	-1.787	0.024	0.648
1.900	-1.810	0.022	0.546
1.860	-1.829	0.022	0.576
1.820	-1.850	0.019	0.435
1.780	-1.868	0.017	0.379
1.740	-1.883	0.017	0.395
1.700	-1.898	0.015	0.336
1.660	-1.911	0.014	0.311
1.620	-1.924	0.014	0.306
1.580	-1.933	0.012	0.265
1.540	-1.942	0.012	0.256
1.500	-1.952	0.010	0.207
1.460	-1.959	0.009	0.184
1.420	-1.965	0.009	0.170
1.380	-1.971	0.008	0.165
1.340	-1.976	0.007	0.117
1.300	-1.981	0.006	0.111
1.260	-1.984	0.006	0.090
1.220	-1.987	0.005	0.049
1.180	-1.990	0.005	0.018
1.140	-1.992	0.004	-0.010
1.100	-1.994	0.004	-0.034
1.060	-1.996	0.003	-0.031
1.020	-1.997	0.003	-0.022
0.980	-1.998	0.002	-0.012
0.940	-1.998	0.002	-0.009
0.900	-1.999	0.002	-0.006
0.860	-1.999	0.001	-0.003
0.820	-2.000	0.001	-0.001
0.780	-2.000	0.001	0.002
0.740	-2.000	0.001	0.000
0.700	-2.000	0.000	0.002
0.660	-2.000	0.000	-0.002
0.620	-2.000	0.000	-0.003
0.580	-2.000	0.000	0.000
0.540	-2.000	0.000	-0.003
0.500	-2.000	0.000	-0.004
0.460	-2.000	0.000	0.000
0.420	-2.000	0.000	0.000
0.380	-2.000	0.000	0.000
0.340	-2.000	0.000	0.000
0.300	-2.000	0.000	0.000
0.260	-2.000	0.000	0.000
0.220	-2.000	0.000	0.000
0.180	-2.000	0.000	0.000
0.140	-2.000	0.000	0.000
