T	<e>	d<e>
4.500	-0.471	0.050
4.367	-0.488	0.052
4.233	-0.505	0.055
4.100	-0.529	0.058
3.967	-0.552	0.061
3.833	-0.579	0.065
3.700	-0.602	0.069
3.567	-0.632	0.073
3.433	-0.659	0.075
3.300	-0.701	0.082
3.167	-0.730	0.086
3.033	-0.782	0.096
2.900	-0.828	0.105
2.767	-0.897	0.116
2.633	-0.956	0.132
2.500	-1.033	0.151
2.367	-1.131	0.172
2.233	-1.229	0.196
2.100	-1.315	0.218
1.967	-1.403	0.242
1.833	-1.495	0.259
1.700	-1.533	0.266
1.567	-1.567	0.270
1.433	-1.620	0.282
1.300	-1.655	0.286
1.167	-1.670	0.285
1.033	-1.672	0.286
0.900	-1.677	0.285
0.767	-1.700	0.291
0.633	-1.692	0.287
