T	<m>	d<m>	suscep
4.100	0.033	0.067	22902748.000
4.060	-0.001	0.004	231448.438
4.020	0.002	0.005	416341.375
3.980	0.002	0.003	115889.180
3.940	-0.002	0.004	231351.266
3.900	-0.001	0.003	195428.656
3.860	-0.003	0.004	252351.547
3.820	-0.003	0.004	284449.812
3.780	-0.002	0.004	283086.938
3.740	0.003	0.005	544441.312
3.700	-0.000	0.003	151035.734
3.660	-0.002	0.004	236361.047
3.620	-0.002	0.004	371158.531
3.580	-0.004	0.005	466650.469
3.540	-0.002	0.005	436001.500
3.500	-0.000	0.004	275073.906
3.460	0.001	0.004	369867.938
3.420	-0.003	0.003	237790.656
3.380	0.000	0.003	199138.797
3.340	0.004	0.003	242668.875
3.300	-0.005	0.006	715385.625
3.260	0.003	0.004	366355.688
3.220	0.003	0.002	123625.383
3.180	0.004	0.003	181721.281
3.140	0.000	0.003	156816.875
3.100	-0.001	0.005	520771.062
3.060	0.001	0.005	554940.750
3.020	0.003	0.006	719281.312
2.980	0.003	0.004	328488.625
2.940	-0.003	0.003	265226.188
2.900	-0.003	0.004	319932.719
2.860	0.003	0.005	644397.688
2.820	-0.000	0.007	1302330.250
2.780	0.014	0.005	514067.625
2.740	0.012	0.010	2299106.000
2.700	-0.002	0.003	302519.500
2.660	-0.007	0.004	387159.312
2.620	-0.009	0.005	732369.688
2.580	-0.007	0.004	523342.250
2.540	0.003	0.010	2890613.750
2.500	0.013	0.005	648230.000
2.460	-0.001	0.016	7015824.500
2.420	-0.021	0.009	2249965.250
2.380	-0.010	0.005	869688.000
2.340	-0.021	0.003	281654.719
2.300	-0.013	0.004	521660.875
2.260	-0.014	0.003	204078.766
2.220	-0.006	0.005	789851.562
2.180	0.001	0.003	199627.375
2.140	0.010	0.003	325434.594
2.100	0.006	0.003	265773.594
2.060	0.009	0.002	181610.922
2.020	0.010	0.004	682579.438
1.980	0.016	0.002	120304.039
1.940	0.017	0.002	171375.250
1.900	0.016	0.002	102142.109
1.860	0.011	0.002	211796.781
1.820	0.007	0.001	44910.715
1.780	0.008	0.002	160004.781
1.740	0.013	0.001	48867.242
1.700	0.008	0.002	190250.578
1.660	0.005	0.001	38645.109
1.620	0.003	0.001	76382.336
1.580	-0.002	0.002	107748.391
1.540	-0.001	0.001	82646.891
1.500	0.002	0.001	55620.887
1.460	0.003	0.003	330703.156
1.420	0.009	0.001	18655.281
1.380	0.010	0.001	47775.730
1.340	0.014	0.001	68191.047
1.300	0.012	0.001	39450.000
1.260	0.009	0.002	300752.781
1.220	0.005	0.001	17528.277
1.180	0.004	0.001	108288.977
1.140	0.001	0.001	23576.658
1.100	-0.002	0.001	69426.227
1.060	-0.005	0.001	40866.395
1.020	-0.005	0.001	91327.328
0.980	-0.005	0.001	26632.270
0.940	-0.007	0.001	76071.805
0.900	-0.012	0.002	177442.203
0.860	-0.017	0.001	133858.156
0.820	-0.021	0.001	68280.492
0.780	-0.021	0.001	27748.719
0.740	-0.023	0.000	19167.566
0.700	-0.020	0.001	157771.422
0.660	-0.018	0.000	23893.936
0.620	-0.019	0.001	108183.891
0.580	-0.022	0.000	16927.588
0.540	-0.022	0.001	32970.371
0.500	-0.022	0.001	42536.000
0.460	-0.022	0.000	16399.998
0.420	-0.023	0.001	105428.555
0.380	-0.026	0.001	57600.020
0.340	-0.027	0.001	76152.961
0.300	-0.027	0.000	18253.336
0.260	-0.025	0.001	190861.547
0.220	-0.023	0.001	697909.000
0.180	-0.020	0.001	110477.734
0.140	-0.021	0.001	169357.016
