T	<m>	d<m>	suscep
4.100	0.022	0.105	-2014920.250
4.060	-0.001	0.009	89372.203
4.020	-0.000	0.009	78931.062
3.980	0.001	0.008	66254.742
3.940	-0.002	0.009	85891.164
3.900	-0.000	0.009	95390.812
3.860	-0.002	0.007	51149.816
3.820	0.002	0.008	77787.891
3.780	-0.002	0.008	81190.617
3.740	0.002	0.007	64106.863
3.700	-0.004	0.010	114719.062
3.660	-0.001	0.011	137131.719
3.620	0.003	0.010	119820.750
3.580	-0.001	0.010	129717.297
3.540	-0.002	0.008	83678.250
3.500	-0.002	0.008	83283.102
3.460	0.005	0.009	90457.883
3.420	0.001	0.010	122034.398
3.380	-0.000	0.010	117838.383
3.340	0.002	0.007	60911.363
3.300	-0.002	0.010	120394.812
3.260	0.003	0.012	193056.359
3.220	0.001	0.012	184092.719
3.180	0.000	0.012	209133.016
3.140	-0.006	0.013	214453.234
3.100	-0.013	0.008	94339.945
3.060	0.002	0.012	204455.578
3.020	0.005	0.012	192393.891
2.980	-0.000	0.010	137987.828
2.940	-0.004	0.014	300411.625
2.900	-0.001	0.011	163631.453
2.860	0.000	0.013	263596.875
2.820	0.001	0.018	502411.656
2.780	-0.007	0.016	407752.250
2.740	0.007	0.016	377918.219
2.700	0.003	0.017	483551.156
2.660	0.006	0.018	504090.688
2.620	0.020	0.019	574706.438
2.580	0.002	0.016	419309.062
2.540	-0.019	0.028	1297275.625
2.500	-0.005	0.030	1498490.250
2.460	0.004	0.018	545696.688
2.420	-0.038	0.021	773555.125
2.380	-0.013	0.016	467565.219
2.340	0.001	0.011	219370.969
2.300	-0.024	0.008	124846.523
2.260	-0.043	0.013	324891.812
2.220	-0.018	0.029	1609536.250
2.180	0.030	0.006	67349.547
2.140	0.018	0.008	130236.570
2.100	0.009	0.006	79782.500
2.060	-0.020	0.015	449666.156
2.020	-0.034	0.005	46810.891
1.980	-0.038	0.009	170389.891
1.940	-0.060	0.005	60391.234
1.900	-0.060	0.004	40490.004
1.860	-0.067	0.008	136383.875
1.820	-0.096	0.006	74545.055
1.780	-0.096	0.003	26674.158
1.740	-0.100	0.004	43149.426
1.700	-0.114	0.004	31411.764
1.660	-0.129	0.008	153609.656
1.620	-0.132	0.006	104197.539
1.580	-0.156	0.005	71518.992
1.540	-0.161	0.004	44327.273
1.500	-0.179	0.003	25770.666
1.460	-0.185	0.005	66191.781
1.420	-0.189	0.003	29521.125
1.380	-0.188	0.003	21727.539
1.340	-0.190	0.003	24847.764
1.300	-0.194	0.006	109476.930
1.260	-0.209	0.007	166514.281
1.220	-0.238	0.009	282491.781
1.180	-0.261	0.006	148501.688
1.140	-0.271	0.008	233094.766
1.100	-0.281	0.002	9658.183
1.060	-0.290	0.004	73569.812
1.020	-0.297	0.003	47717.648
0.980	-0.293	0.002	21844.898
0.940	-0.290	0.002	18076.594
0.900	-0.287	0.003	50631.105
0.860	-0.283	0.002	20316.281
0.820	-0.278	0.001	4526.830
0.780	-0.275	0.002	13538.462
0.740	-0.275	0.001	8000.000
0.700	-0.272	0.001	4297.143
0.660	-0.274	0.001	7660.605
0.620	-0.273	0.001	14451.615
0.580	-0.269	0.001	12524.140
0.540	-0.273	0.001	14814.815
0.500	-0.276	0.001	7232.000
0.460	-0.278	0.001	13426.086
0.420	-0.280	0.000	2057.143
0.380	-0.280	0.001	6315.792
0.340	-0.277	0.001	14400.004
0.300	-0.279	0.002	33813.340
0.260	-0.282	0.001	11200.000
0.220	-0.281	0.000	2327.272
0.180	-0.281	0.000	4622.221
0.140	-0.280	0.000	6171.424
