k		corr_k
0		1.000000
100		0.887104
200		0.788855
300		0.701871
400		0.627700
500		0.564961
600		0.510774
700		0.463720
800		0.420937
900		0.380782
1000		0.345288
1100		0.315072
1200		0.287146
1300		0.262716
1400		0.242202
1500		0.224523
1600		0.208570
1700		0.195007
1800		0.183619
1900		0.174653
2000		0.164186
2100		0.153932
2200		0.145677
2300		0.137912
2400		0.132650
2500		0.127981
2600		0.122800
2700		0.116143
2800		0.109036
2900		0.104395
3000		0.099683
3100		0.093046
3200		0.084924
3300		0.078871
3400		0.072482
3500		0.066888
3600		0.063096
3700		0.059296
3800		0.051686
3900		0.044884
4000		0.039802
4100		0.036282
4200		0.028132
4300		0.019434
4400		0.013196
4500		0.008466
4600		0.004292
4700		0.002250
4800		-0.000003
4900		-0.001742
5000		-0.001973
5100		-0.000259
5200		-0.000918
5300		-0.002347
5400		-0.002693
5500		-0.001917
5600		-0.002685
5700		-0.005966
5800		-0.011684
5900		-0.015416
6000		-0.017100
6100		-0.017948
6200		-0.018523
6300		-0.019782
6400		-0.021227
6500		-0.020852
6600		-0.019898
6700		-0.017718
6800		-0.016387
6900		-0.014995
7000		-0.011874
7100		-0.009845
7200		-0.007525
7300		-0.006760
7400		-0.008249
7500		-0.008182
7600		-0.008577
7700		-0.007065
7800		-0.005793
7900		-0.004419
8000		-0.002681
8100		-0.000482
8200		0.001566
8300		0.000785
8400		-0.001472
8500		-0.002410
8600		-0.003363
8700		-0.004930
8800		-0.005388
8900		-0.007638
9000		-0.013751
9100		-0.021401
9200		-0.025424
9300		-0.029296
9400		-0.030433
9500		-0.032240
9600		-0.031728
9700		-0.029566
9800		-0.026816
9900		-0.024959
10000		-0.025335
10100		-0.023135
10200		-0.019023
10300		-0.015683
10400		-0.010793
10500		-0.005294
10600		0.001189
10700		0.007351
10800		0.011638
10900		0.013157
11000		0.014739
11100		0.016910
11200		0.018328
11300		0.022060
11400		0.025716
11500		0.027714
11600		0.031142
11700		0.032180
11800		0.034567
11900		0.034718
12000		0.036163
12100		0.038380
12200		0.043589
12300		0.047442
12400		0.050237
12500		0.052179
12600		0.051703
12700		0.047943
12800		0.044483
12900		0.043990
13000		0.041436
13100		0.043122
13200		0.044175
13300		0.043861
13400		0.042917
13500		0.039893
13600		0.036969
13700		0.034317
13800		0.034444
13900		0.032495
14000		0.030465
14100		0.031448
14200		0.029613
14300		0.024327
14400		0.016082
14500		0.008399
14600		0.001526
14700		-0.004069
14800		-0.007845
14900		-0.008643
15000		-0.010790
15100		-0.010352
15200		-0.008336
15300		-0.002064
15400		0.003412
15500		0.008554
15600		0.010268
15700		0.014270
15800		0.020643
15900		0.024493
16000		0.024906
16100		0.023653
16200		0.020756
16300		0.017618
16400		0.015661
16500		0.014616
16600		0.014124
