T	<e>	d<e>	cv
10.000	-0.249	0.027	0.463
9.901	-0.265	0.004	0.013
9.802	-0.270	0.006	0.027
9.703	-0.268	0.004	0.009
9.604	-0.269	0.006	0.026
9.505	-0.271	0.003	0.005
9.406	-0.277	0.004	0.009
9.307	-0.278	0.007	0.041
9.208	-0.285	0.006	0.024
9.109	-0.285	0.004	0.014
9.010	-0.282	0.004	0.013
8.911	-0.292	0.006	0.028
8.812	-0.292	0.008	0.056
8.713	-0.298	0.009	0.074
8.614	-0.298	0.009	0.079
8.515	-0.304	0.004	0.012
8.416	-0.304	0.008	0.054
8.317	-0.310	0.006	0.040
8.218	-0.310	0.007	0.054
8.119	-0.314	0.004	0.015
8.020	-0.318	0.006	0.031
7.921	-0.323	0.004	0.017
7.822	-0.322	0.006	0.034
7.723	-0.329	0.007	0.048
7.624	-0.329	0.004	0.021
7.525	-0.339	0.007	0.052
7.426	-0.339	0.006	0.049
7.327	-0.347	0.005	0.035
7.228	-0.354	0.005	0.030
7.129	-0.355	0.004	0.019
7.030	-0.363	0.005	0.031
6.931	-0.367	0.006	0.043
6.832	-0.365	0.007	0.066
6.733	-0.377	0.005	0.035
6.634	-0.377	0.005	0.043
6.535	-0.386	0.007	0.078
6.436	-0.390	0.004	0.020
6.337	-0.396	0.005	0.036
6.238	-0.400	0.005	0.045
6.139	-0.410	0.004	0.032
6.040	-0.415	0.009	0.150
5.941	-0.420	0.002	0.011
5.842	-0.422	0.005	0.049
5.743	-0.436	0.005	0.044
5.644	-0.446	0.004	0.027
5.545	-0.451	0.007	0.111
5.446	-0.455	0.006	0.077
5.347	-0.465	0.004	0.043
5.248	-0.476	0.005	0.063
5.149	-0.482	0.006	0.093
5.050	-0.489	0.007	0.116
4.951	-0.497	0.005	0.060
4.852	-0.507	0.005	0.066
4.753	-0.523	0.006	0.089
4.654	-0.530	0.005	0.076
4.555	-0.545	0.006	0.104
4.456	-0.553	0.004	0.059
4.357	-0.569	0.005	0.076
4.258	-0.578	0.004	0.068
4.159	-0.598	0.006	0.149
4.060	-0.610	0.003	0.029
3.961	-0.622	0.006	0.156
3.862	-0.636	0.004	0.073
3.763	-0.662	0.007	0.226
3.664	-0.681	0.006	0.180
3.565	-0.693	0.006	0.214
3.466	-0.723	0.005	0.113
3.367	-0.742	0.009	0.426
3.268	-0.769	0.006	0.243
3.169	-0.795	0.010	0.655
3.070	-0.826	0.010	0.631
2.971	-0.860	0.013	1.170
2.872	-0.899	0.013	1.321
2.773	-0.935	0.009	0.688
2.674	-0.987	0.015	1.930
2.575	-1.035	0.011	1.254
2.476	-1.093	0.018	3.436
2.377	-1.160	0.016	2.894
2.278	-1.218	0.020	5.102
2.179	-1.298	0.021	5.991
2.080	-1.384	0.021	6.596
1.981	-1.471	0.024	9.970
1.882	-1.565	0.018	6.026
1.783	-1.630	0.014	3.819
1.684	-1.685	0.011	2.970
1.585	-1.736	0.012	3.489
1.486	-1.775	0.009	2.477
1.387	-1.810	0.007	1.852
1.288	-1.836	0.005	0.838
1.189	-1.855	0.005	1.050
1.090	-1.871	0.003	0.460
0.991	-1.883	0.003	0.525
0.892	-1.892	0.002	0.452
0.793	-1.899	0.001	0.149
0.694	-1.905	0.001	0.195
0.595	-1.909	0.001	0.177
0.496	-1.912	0.000	0.000
0.397	-1.913	0.000	0.099
0.298	-1.914	0.000	0.176
0.199	-1.914	0.000	0.395
