T	<e>	d<e>	cv
10.000	-0.260	0.099	0.025
9.901	-0.263	0.098	0.025
9.802	-0.267	0.099	0.026
9.703	-0.270	0.096	0.025
9.604	-0.270	0.094	0.025
9.505	-0.275	0.094	0.025
9.406	-0.274	0.095	0.026
9.307	-0.279	0.095	0.027
9.208	-0.279	0.096	0.028
9.109	-0.283	0.094	0.027
9.010	-0.288	0.095	0.029
8.911	-0.294	0.097	0.030
8.812	-0.294	0.097	0.031
8.713	-0.296	0.092	0.028
8.614	-0.298	0.097	0.032
8.515	-0.303	0.096	0.032
8.416	-0.307	0.094	0.032
8.317	-0.308	0.093	0.032
8.218	-0.310	0.095	0.034
8.119	-0.314	0.093	0.033
8.020	-0.320	0.097	0.037
7.921	-0.321	0.094	0.036
7.822	-0.328	0.096	0.038
7.723	-0.329	0.098	0.041
7.624	-0.335	0.097	0.041
7.525	-0.342	0.097	0.043
7.426	-0.339	0.097	0.044
7.327	-0.345	0.096	0.044
7.228	-0.349	0.096	0.045
7.129	-0.359	0.093	0.043
7.030	-0.361	0.093	0.045
6.931	-0.361	0.094	0.047
6.832	-0.365	0.094	0.049
6.733	-0.374	0.094	0.049
6.634	-0.382	0.095	0.052
6.535	-0.383	0.096	0.055
6.436	-0.387	0.097	0.058
6.337	-0.397	0.095	0.058
6.238	-0.400	0.093	0.057
6.139	-0.410	0.095	0.062
6.040	-0.415	0.094	0.062
5.941	-0.421	0.098	0.069
5.842	-0.429	0.095	0.068
5.743	-0.432	0.095	0.070
5.644	-0.441	0.095	0.073
5.545	-0.449	0.092	0.071
5.446	-0.458	0.096	0.079
5.347	-0.464	0.097	0.085
5.248	-0.473	0.095	0.083
5.149	-0.484	0.094	0.086
5.050	-0.487	0.096	0.092
4.951	-0.498	0.097	0.098
4.852	-0.510	0.098	0.104
4.753	-0.519	0.099	0.111
4.654	-0.530	0.098	0.113
4.555	-0.544	0.097	0.116
4.456	-0.555	0.096	0.119
4.357	-0.568	0.099	0.132
4.258	-0.577	0.100	0.141
4.159	-0.598	0.098	0.141
4.060	-0.607	0.099	0.152
3.961	-0.623	0.101	0.166
3.862	-0.645	0.097	0.162
3.763	-0.659	0.099	0.176
3.664	-0.678	0.101	0.194
3.565	-0.705	0.107	0.231
3.466	-0.722	0.102	0.222
3.367	-0.746	0.105	0.249
3.268	-0.775	0.105	0.266
3.169	-0.800	0.112	0.317
3.070	-0.831	0.108	0.318
2.971	-0.855	0.113	0.368
2.872	-0.905	0.113	0.394
2.773	-0.948	0.116	0.448
2.674	-0.992	0.123	0.539
2.575	-1.054	0.139	0.742
2.476	-1.110	0.132	0.730
2.377	-1.221	0.157	1.113
2.278	-1.348	0.168	1.396
2.179	-1.472	0.158	1.348
2.080	-1.602	0.139	1.141
1.981	-1.703	0.112	0.815
1.882	-1.775	0.090	0.580
1.783	-1.828	0.075	0.456
1.684	-1.872	0.066	0.387
1.585	-1.903	0.055	0.300
1.486	-1.930	0.044	0.223
1.387	-1.951	0.038	0.183
1.288	-1.968	0.029	0.128
1.189	-1.978	0.023	0.095
1.090	-1.987	0.018	0.067
0.991	-1.993	0.013	0.044
0.892	-1.996	0.009	0.023
0.793	-1.999	0.006	0.013
0.694	-2.000	0.003	0.005
0.595	-2.000	0.002	0.002
0.496	-2.000	0.001	0.000
0.397	-2.000	0.000	0.000
0.298	-2.000	0.000	0.000
0.199	-2.000	0.000	0.000
