T	<e>	d<e>
2.200	-0.629	0.192
2.160	-0.638	0.186
2.120	-0.640	0.191
2.080	-0.654	0.191
2.040	-0.667	0.191
2.000	-0.670	0.193
1.960	-0.684	0.194
1.920	-0.697	0.198
1.880	-0.707	0.195
1.840	-0.724	0.205
1.800	-0.735	0.200
1.760	-0.746	0.202
1.720	-0.763	0.205
1.680	-0.782	0.208
1.640	-0.801	0.214
1.600	-0.817	0.214
1.560	-0.835	0.216
1.520	-0.856	0.222
1.480	-0.872	0.228
1.440	-0.898	0.232
1.400	-0.933	0.239
1.360	-0.959	0.247
1.320	-1.001	0.259
1.280	-1.054	0.269
1.240	-1.092	0.275
1.200	-1.137	0.278
1.160	-1.217	0.278
1.120	-1.249	0.281
1.080	-1.326	0.283
1.040	-1.390	0.275
1.000	-1.462	0.260
0.960	-1.520	0.251
0.920	-1.586	0.227
0.880	-1.639	0.209
0.840	-1.695	0.181
0.800	-1.735	0.170
0.760	-1.777	0.151
0.720	-1.810	0.138
0.680	-1.841	0.125
0.640	-1.868	0.113
0.600	-1.898	0.098
0.560	-1.916	0.088
0.520	-1.937	0.077
0.480	-1.954	0.066
0.440	-1.968	0.055
0.400	-1.980	0.042
0.360	-1.989	0.033
0.320	-1.994	0.023
0.280	-1.998	0.015
0.240	-1.999	0.008
