T	<m>	d<m>
20.500	0.064	0.059
20.100	0.059	0.056
19.700	0.059	0.060
19.300	0.060	0.058
18.900	0.062	0.057
18.500	0.066	0.057
18.100	0.065	0.057
17.700	0.068	0.057
17.300	0.067	0.058
16.900	0.068	0.056
16.500	0.068	0.058
16.100	0.070	0.058
15.700	0.074	0.058
15.300	0.071	0.057
14.900	0.076	0.057
14.500	0.076	0.057
14.100	0.080	0.055
13.700	0.079	0.057
13.300	0.083	0.058
12.900	0.084	0.057
12.500	0.086	0.054
12.100	0.089	0.054
11.700	0.089	0.057
11.300	0.094	0.057
10.900	0.097	0.055
10.500	0.102	0.056
10.100	0.100	0.056
9.700	0.106	0.055
9.300	0.111	0.054
8.900	0.112	0.055
8.500	0.116	0.054
8.100	0.120	0.053
7.700	0.124	0.052
7.300	0.129	0.052
6.900	0.132	0.053
6.500	0.137	0.051
6.100	0.145	0.051
5.700	0.150	0.050
5.300	0.156	0.050
4.900	0.163	0.048
4.500	0.172	0.048
4.100	0.181	0.047
3.700	0.188	0.046
3.300	0.199	0.045
2.900	0.207	0.044
2.500	0.214	0.042
2.100	0.224	0.039
1.700	0.227	0.038
1.300	0.215	0.036
0.900	0.109	0.030
2.200	0.222	0.040
2.160	0.224	0.040
2.120	0.224	0.039
2.080	0.225	0.040
2.040	0.226	0.041
2.000	0.223	0.040
1.960	0.226	0.038
1.920	0.226	0.039
1.880	0.227	0.037
1.840	0.227	0.037
1.800	0.226	0.039
1.760	0.227	0.037
1.720	0.227	0.039
1.680	0.228	0.037
1.640	0.227	0.037
1.600	0.227	0.037
1.560	0.226	0.036
1.520	0.225	0.036
1.480	0.224	0.037
1.440	0.223	0.036
1.400	0.225	0.036
1.360	0.218	0.035
1.320	0.217	0.035
1.280	0.214	0.035
1.240	0.207	0.034
1.200	0.205	0.035
1.160	0.194	0.037
1.120	0.188	0.036
1.080	0.178	0.037
1.040	0.169	0.035
1.000	0.144	0.035
0.960	0.131	0.033
0.920	0.117	0.031
0.880	0.103	0.028
0.840	0.091	0.027
0.800	0.081	0.025
0.760	0.070	0.023
0.720	0.060	0.021
0.680	0.052	0.020
0.640	0.043	0.019
0.600	0.035	0.016
0.560	0.027	0.014
0.520	0.021	0.013
0.480	0.015	0.011
0.440	0.010	0.009
0.400	0.007	0.007
1.500	0.225	0.036
1.400	0.220	0.036
1.300	0.214	0.034
1.200	0.203	0.034
1.100	0.186	0.036
1.000	0.142	0.036
0.900	0.109	0.029
0.800	0.081	0.024
0.700	0.057	0.020
0.600	0.036	0.016
