T	<m>	d<m>	suscep
10.000	0.068	0.012	242.078
9.901	0.071	0.014	317.012
9.802	0.071	0.013	296.186
9.703	0.070	0.012	258.237
9.604	0.071	0.012	270.202
9.505	0.072	0.011	231.850
9.406	0.071	0.011	211.382
9.307	0.074	0.014	330.052
9.208	0.073	0.011	204.160
9.109	0.075	0.012	249.652
9.010	0.073	0.013	302.252
8.911	0.073	0.012	249.228
8.812	0.075	0.011	233.589
8.713	0.076	0.013	347.653
8.614	0.076	0.013	321.376
8.515	0.076	0.012	278.954
8.416	0.078	0.013	324.651
8.317	0.077	0.012	313.776
8.218	0.078	0.013	326.956
8.119	0.079	0.013	346.671
8.020	0.078	0.012	302.945
7.921	0.079	0.012	329.592
7.822	0.082	0.012	312.298
7.723	0.082	0.012	337.924
7.624	0.083	0.012	320.329
7.525	0.080	0.012	299.061
7.426	0.084	0.014	433.784
7.327	0.084	0.011	290.811
7.228	0.084	0.012	328.822
7.129	0.083	0.012	329.181
7.030	0.084	0.012	342.274
6.931	0.088	0.013	417.411
6.832	0.086	0.013	383.865
6.733	0.087	0.013	399.655
6.634	0.088	0.013	400.477
6.535	0.089	0.011	324.943
6.436	0.089	0.012	356.343
6.337	0.090	0.011	335.988
6.238	0.092	0.011	326.815
6.139	0.091	0.012	366.209
6.040	0.092	0.010	266.737
5.941	0.094	0.012	376.407
5.842	0.094	0.011	367.420
5.743	0.092	0.011	338.317
5.644	0.094	0.011	367.204
5.545	0.096	0.010	331.774
5.446	0.098	0.011	376.371
5.347	0.096	0.011	402.892
5.248	0.097	0.011	376.161
5.149	0.099	0.011	394.579
5.050	0.100	0.011	403.738
4.951	0.101	0.010	353.101
4.852	0.103	0.012	507.027
4.753	0.101	0.011	435.511
4.654	0.102	0.011	422.852
4.555	0.103	0.012	508.552
4.456	0.105	0.011	455.019
4.357	0.103	0.011	437.930
4.258	0.105	0.010	416.033
4.159	0.105	0.011	464.219
4.060	0.106	0.011	493.257
3.961	0.106	0.009	381.383
3.862	0.106	0.010	466.347
3.763	0.108	0.008	292.964
3.664	0.109	0.010	480.951
3.565	0.109	0.010	464.989
3.466	0.110	0.010	508.245
3.367	0.110	0.009	386.086
3.268	0.107	0.008	368.120
3.169	0.107	0.010	502.648
3.070	0.107	0.008	381.988
2.971	0.107	0.010	517.282
2.872	0.105	0.008	374.962
2.773	0.105	0.009	480.093
2.674	0.103	0.008	392.495
2.575	0.099	0.009	494.035
2.476	0.097	0.008	389.224
2.377	0.091	0.009	515.816
2.278	0.084	0.007	410.825
2.179	0.074	0.008	464.993
2.080	0.065	0.006	325.030
1.981	0.053	0.007	393.204
1.882	0.044	0.005	203.704
1.783	0.033	0.005	198.333
1.684	0.027	0.004	186.780
1.585	0.021	0.003	121.559
1.486	0.017	0.003	100.631
1.387	0.013	0.002	64.774
1.288	0.009	0.002	48.104
1.189	0.006	0.002	47.971
1.090	0.004	0.002	36.264
0.991	0.002	0.001	16.035
0.892	0.001	0.001	11.604
0.793	0.001	0.001	5.871
0.694	0.000	0.000	3.106
0.595	0.000	0.000	1.097
0.496	0.000	0.000	0.000
0.397	0.000	0.000	0.000
0.298	0.000	0.000	0.000
0.199	0.000	0.000	0.000
