T	<m>	d<m>	suscep
10.000	0.041	0.027	5086542.500
9.901	0.070	0.001	5623.674
9.802	0.068	0.002	38212.609
9.703	0.072	0.000	745.336
9.604	0.072	0.001	1952.520
9.505	0.070	0.000	0.000
9.406	0.071	0.000	367.425
9.307	0.073	0.001	2351.778
9.208	0.072	0.001	5692.441
9.109	0.073	0.001	2740.147
9.010	0.075	0.002	30124.750
8.911	0.073	0.000	1235.327
8.812	0.076	0.001	6322.288
8.713	0.075	0.001	12802.938
8.614	0.077	0.001	5416.299
8.515	0.077	0.000	225.484
8.416	0.078	0.002	24384.029
8.317	0.078	0.000	288.566
8.218	0.080	0.002	31649.549
8.119	0.078	0.001	8517.306
8.020	0.078	0.002	25248.877
7.921	0.078	0.000	8.080
7.822	0.080	0.001	11814.881
7.723	0.081	0.000	124.304
7.624	0.082	0.000	0.000
7.525	0.082	0.000	1756.279
7.426	0.084	0.001	9743.064
7.327	0.083	0.001	7345.981
7.228	0.084	0.001	5759.823
7.129	0.085	0.000	484.780
7.030	0.085	0.000	2439.829
6.931	0.087	0.001	6856.154
6.832	0.085	0.002	44922.719
6.733	0.089	0.000	969.553
6.634	0.087	0.001	10110.341
6.535	0.086	0.002	29625.096
6.436	0.088	0.001	7313.860
6.337	0.091	0.000	1979.486
6.238	0.090	0.001	3714.011
6.139	0.093	0.001	20402.020
6.040	0.092	0.000	2458.278
5.941	0.093	0.000	549.402
5.842	0.093	0.002	30334.816
5.743	0.092	0.001	14542.922
5.644	0.095	0.003	91078.664
5.545	0.095	0.001	3693.417
5.446	0.097	0.000	2514.873
5.347	0.097	0.001	4608.191
5.248	0.099	0.001	4573.170
5.149	0.098	0.001	25033.209
5.050	0.098	0.000	1939.010
4.951	0.100	0.000	2145.829
4.852	0.101	0.003	130268.750
4.753	0.101	0.001	31023.773
4.654	0.103	0.001	21039.967
4.555	0.102	0.002	36376.730
4.456	0.103	0.000	947.935
4.357	0.105	0.002	64220.336
4.258	0.105	0.001	32135.275
4.159	0.105	0.002	62784.324
4.060	0.106	0.000	2522.167
3.961	0.105	0.001	27823.277
3.862	0.108	0.001	5070.948
3.763	0.106	0.000	1258.570
3.664	0.108	0.000	1484.716
3.565	0.108	0.001	36550.910
3.466	0.106	0.001	17338.719
3.367	0.108	0.000	266.112
3.268	0.110	0.000	1096.695
3.169	0.108	0.001	42491.637
3.070	0.107	0.000	1021.498
2.971	0.107	0.001	7367.216
2.872	0.106	0.000	1448.468
2.773	0.106	0.001	7362.423
2.674	0.104	0.001	6821.241
2.575	0.102	0.001	19286.992
2.476	0.101	0.002	88840.070
2.377	0.098	0.002	105194.789
2.278	0.096	0.001	8259.878
2.179	0.089	0.003	199900.875
2.080	0.085	0.001	47692.309
1.981	0.078	0.001	35440.688
1.882	0.074	0.003	248603.625
1.783	0.066	0.001	63694.898
1.684	0.060	0.002	234194.766
1.585	0.054	0.002	190849.203
1.486	0.048	0.002	111461.641
1.387	0.043	0.002	121788.023
1.288	0.038	0.002	141559.000
1.189	0.034	0.002	185789.719
1.090	0.031	0.001	49805.496
0.991	0.028	0.001	88411.688
0.892	0.026	0.001	21659.188
0.793	0.024	0.000	7868.850
0.694	0.023	0.000	12461.091
0.595	0.023	0.000	168.067
0.496	0.023	0.000	129.032
0.397	0.023	0.000	302.267
0.298	0.023	0.000	13.423
0.199	0.023	0.000	40.201
