T	<m>	d<m>	suscep
4.100	0.000	0.026	174.400
4.060	-0.000	0.026	179.648
4.020	-0.000	0.027	191.789
3.980	-0.000	0.027	188.883
3.940	-0.001	0.027	187.596
3.900	0.001	0.027	197.508
3.860	0.001	0.027	193.976
3.820	0.000	0.026	189.508
3.780	0.001	0.027	202.657
3.740	-0.001	0.026	183.641
3.700	-0.001	0.026	191.781
3.660	0.000	0.027	202.736
3.620	0.000	0.025	186.932
3.580	-0.001	0.027	207.546
3.540	0.000	0.025	190.296
3.500	0.000	0.026	197.658
3.460	-0.000	0.025	192.010
3.420	-0.001	0.025	194.896
3.380	0.002	0.025	201.542
3.340	0.001	0.026	207.950
3.300	0.001	0.026	216.038
3.260	-0.000	0.025	207.213
3.220	-0.000	0.024	193.413
3.180	0.001	0.026	214.778
3.140	-0.000	0.024	195.361
3.100	0.000	0.025	204.747
3.060	0.000	0.025	212.826
3.020	0.001	0.024	198.035
2.980	0.000	0.025	218.683
2.940	0.001	0.024	199.570
2.900	0.001	0.024	205.373
2.860	0.001	0.023	201.962
2.820	-0.001	0.023	203.618
2.780	-0.000	0.023	204.568
2.740	0.000	0.023	209.741
2.700	-0.000	0.022	191.327
2.660	-0.001	0.023	206.571
2.620	0.000	0.022	194.152
2.580	-0.000	0.022	198.582
2.540	-0.000	0.022	191.942
2.500	-0.000	0.021	181.430
2.460	-0.000	0.022	205.143
2.420	-0.000	0.021	185.047
2.380	-0.000	0.021	197.170
2.340	0.001	0.020	185.302
2.300	-0.000	0.020	175.154
2.260	0.001	0.019	165.921
2.220	0.000	0.018	160.427
2.180	-0.000	0.017	143.134
2.140	-0.000	0.017	142.996
2.100	0.000	0.016	128.643
2.060	-0.000	0.014	102.009
2.020	0.000	0.013	93.102
1.980	0.000	0.013	84.127
1.940	-0.000	0.011	71.047
1.900	0.000	0.011	62.308
1.860	0.000	0.010	53.595
1.820	-0.000	0.009	50.354
1.780	-0.000	0.009	43.142
1.740	0.000	0.008	38.243
1.700	-0.000	0.008	35.609
1.660	0.000	0.007	30.657
1.620	0.000	0.006	26.737
1.580	-0.000	0.006	24.014
1.540	0.000	0.005	20.588
1.500	0.000	0.005	18.439
1.460	-0.000	0.005	15.180
1.420	0.000	0.004	12.955
1.380	0.000	0.004	11.635
1.340	-0.000	0.003	9.087
1.300	0.000	0.003	8.185
1.260	0.000	0.003	6.876
1.220	-0.000	0.002	5.269
1.180	0.000	0.002	4.723
1.140	0.000	0.002	3.535
1.100	-0.000	0.002	2.897
1.060	0.000	0.001	2.135
1.020	0.000	0.001	1.620
0.980	0.000	0.001	1.340
0.940	-0.000	0.001	0.998
0.900	-0.000	0.001	0.682
0.860	-0.000	0.001	0.419
0.820	-0.000	0.001	0.326
0.780	-0.000	0.000	0.171
0.740	0.000	0.000	0.133
0.700	0.000	0.000	0.047
0.660	0.000	0.000	0.037
0.620	-0.000	0.000	0.013
0.580	0.000	0.000	0.000
0.540	0.000	0.000	0.005
0.500	0.000	0.000	0.000
0.460	0.000	0.000	0.000
0.420	0.000	0.000	0.000
0.380	0.000	0.000	0.000
0.340	0.000	0.000	0.000
0.300	0.000	0.000	0.000
0.260	0.000	0.000	0.000
0.220	0.000	0.000	0.000
0.180	0.000	0.000	0.000
0.140	0.000	0.000	0.000
