T	<e>	d<e>	cv
5.00000	-0.54575	0.04471	0.08189
4.75500	-0.56144	0.04704	0.10023
4.51000	-0.58881	0.04583	0.10572
4.26500	-0.61362	0.04738	0.12636
4.02000	-0.64265	0.04425	0.12405
3.77500	-0.67882	0.04492	0.14497
3.53000	-0.71577	0.04337	0.15456
3.28500	-0.77265	0.04668	0.20668
3.04000	-0.82475	0.05104	0.28850
2.79500	-0.88972	0.05082	0.33822
2.55000	-0.99037	0.04945	0.38458
2.30500	-1.12272	0.05835	0.65531
2.06000	-1.53271	0.07973	1.53264
1.81500	-1.81622	0.04570	0.64677
1.57000	-1.92991	0.02422	0.24039
1.32500	-1.97477	0.01427	0.11334
1.08000	-1.99462	0.00679	0.03244
0.83500	-1.99950	0.00202	0.00420
0.59000	-1.99998	0.00035	0.00000
0.34500	-2.00000	0.00000	0.00000
