T	<m>	d<m>	suscep
5.00000	0.00058	0.22165	2.51541
4.75500	-0.00209	0.21864	2.57366
4.51000	-0.00149	0.21444	2.61022
4.26500	0.00055	0.21109	2.67472
4.02000	-0.00030	0.20620	2.70761
3.77500	0.00018	0.20071	2.73181
3.53000	0.00130	0.19321	2.70746
3.28500	-0.00046	0.18489	2.66386
3.04000	-0.00055	0.17654	2.62469
2.79500	0.00088	0.16277	2.42671
2.55000	0.00063	0.14484	2.10614
2.30500	0.00011	0.12317	1.68493
2.06000	-0.00043	0.09759	1.18367
1.81500	0.00056	0.07183	0.72776
1.57000	-0.00011	0.04775	0.37185
1.32500	0.00018	0.02755	0.14664
1.08000	0.00004	0.01427	0.04824
0.83500	-0.00004	0.00430	0.00567
0.59000	0.00000	0.00071	0.00022
0.34500	0.00000	0.00000	0.00000
