T	<e>	d<e>
4.500	-0.521	0.051
4.480	-0.242	0.050
4.460	-0.236	0.050
4.440	-0.297	0.050
4.420	-0.238	0.050
4.400	-0.261	0.050
4.380	-0.261	0.050
4.360	-0.247	0.050
4.340	-0.265	0.051
4.320	-0.244	0.051
4.300	-0.275	0.051
4.280	-0.248	0.050
4.260	-0.267	0.052
4.240	-0.290	0.050
4.220	-0.268	0.050
4.200	-0.286	0.051
4.180	-0.259	0.050
4.160	-0.285	0.052
4.140	-0.288	0.052
4.120	-0.312	0.051
4.100	-0.322	0.051
4.080	-0.307	0.053
4.060	-0.284	0.050
4.040	-0.290	0.051
4.020	-0.291	0.052
4.000	-0.328	0.052
3.980	-0.295	0.051
3.960	-0.310	0.052
3.940	-0.324	0.052
3.920	-0.301	0.052
3.900	-0.302	0.051
3.880	-0.332	0.052
3.860	-0.318	0.052
3.840	-0.336	0.051
3.820	-0.297	0.052
3.800	-0.344	0.053
3.780	-0.336	0.052
3.760	-0.338	0.054
3.740	-0.335	0.052
3.720	-0.384	0.053
3.700	-0.398	0.053
3.680	-0.353	0.052
3.660	-0.363	0.054
3.640	-0.390	0.053
3.620	-0.400	0.053
3.600	-0.408	0.054
3.580	-0.384	0.052
3.560	-0.439	0.053
3.540	-0.398	0.053
3.520	-0.382	0.055
3.500	-0.378	0.053
3.480	-0.418	0.054
3.460	-0.409	0.055
3.440	-0.449	0.054
3.420	-0.387	0.054
3.400	-0.432	0.055
3.380	-0.435	0.055
3.360	-0.474	0.056
3.340	-0.452	0.054
3.320	-0.466	0.056
3.300	-0.467	0.055
3.280	-0.463	0.057
3.260	-0.486	0.056
3.240	-0.499	0.059
3.220	-0.518	0.057
3.200	-0.520	0.057
3.180	-0.452	0.058
3.160	-0.522	0.056
3.140	-0.505	0.056
3.120	-0.515	0.058
3.100	-0.519	0.058
3.080	-0.560	0.056
3.060	-0.557	0.058
3.040	-0.572	0.057
3.020	-0.561	0.058
3.000	-0.618	0.059
2.980	-0.620	0.059
2.960	-0.639	0.060
2.940	-0.602	0.060
2.920	-0.592	0.060
2.900	-0.638	0.060
2.880	-0.647	0.064
2.860	-0.636	0.064
2.840	-0.656	0.061
2.820	-0.661	0.061
2.800	-0.625	0.061
2.780	-0.708	0.062
2.760	-0.653	0.063
2.740	-0.694	0.065
2.720	-0.715	0.064
2.700	-0.731	0.064
2.680	-0.686	0.065
2.660	-0.807	0.065
2.640	-0.704	0.069
2.620	-0.767	0.070
2.600	-0.726	0.067
2.580	-0.801	0.073
2.560	-0.874	0.069
2.540	-0.848	0.070
2.520	-0.837	0.067
2.500	-0.927	0.077
2.480	-0.872	0.073
2.460	-0.894	0.081
2.440	-0.921	0.080
2.420	-0.901	0.082
2.400	-1.110	0.084
2.380	-0.936	0.091
2.360	-1.116	0.087
2.340	-0.971	0.098
2.320	-0.916	0.096
2.300	-1.178	0.092
2.280	-1.381	0.083
2.260	-1.397	0.092
2.240	-1.433	0.091
2.220	-1.438	0.084
2.200	-1.462	0.073
2.180	-1.553	0.077
2.160	-1.550	0.076
2.140	-1.586	0.079
2.120	-1.593	0.063
2.100	-1.637	0.061
2.080	-1.659	0.059
2.060	-1.671	0.058
2.040	-1.672	0.056
2.020	-1.710	0.054
2.000	-1.710	0.057
1.980	-1.743	0.054
1.960	-1.757	0.049
1.940	-1.763	0.047
1.920	-1.778	0.045
1.900	-1.779	0.044
1.880	-1.803	0.043
1.860	-1.816	0.042
1.840	-1.834	0.040
1.820	-1.839	0.037
1.800	-1.850	0.037
1.780	-1.855	0.036
1.760	-1.868	0.034
1.740	-1.875	0.033
1.720	-1.881	0.032
1.700	-1.889	0.031
1.680	-1.897	0.029
1.660	-1.902	0.028
1.640	-1.912	0.028
1.620	-1.918	0.027
1.600	-1.924	0.025
1.580	-1.931	0.025
1.560	-1.934	0.024
1.540	-1.938	0.023
1.520	-1.943	0.022
1.500	-1.946	0.021
1.480	-1.950	0.020
1.460	-1.954	0.019
1.440	-1.958	0.018
1.420	-1.964	0.017
1.400	-1.966	0.017
1.380	-1.969	0.016
1.360	-1.970	0.015
1.340	-1.974	0.014
1.320	-1.978	0.013
1.300	-1.978	0.013
1.280	-1.982	0.012
1.260	-1.983	0.012
1.240	-1.985	0.011
1.220	-1.985	0.011
1.200	-1.987	0.010
1.180	-1.990	0.009
1.160	-1.990	0.009
1.140	-1.991	0.008
1.120	-1.992	0.007
1.100	-1.993	0.007
1.080	-1.995	0.006
1.060	-1.994	0.006
1.040	-1.996	0.006
1.020	-1.997	0.005
1.000	-1.996	0.005
0.980	-1.998	0.004
0.960	-1.998	0.004
0.940	-1.997	0.004
0.920	-1.999	0.003
0.900	-1.999	0.003
0.880	-1.999	0.003
0.860	-1.999	0.002
0.840	-1.998	0.002
0.820	-1.999	0.002
0.800	-2.000	0.002
0.780	-2.000	0.002
0.760	-2.000	0.001
0.740	-2.000	0.001
0.720	-2.000	0.001
0.700	-2.000	0.001
0.680	-2.000	0.001
0.660	-2.000	0.001
0.640	-2.000	0.001
0.620	-2.000	0.000
0.600	-2.000	0.000
0.580	-2.000	0.000
0.560	-2.000	0.000
0.540	-2.000	0.000
0.520	-2.000	0.000
