T	<e>	d<e>
2.260	-1.440	0.109
2.260	-1.413	0.115
2.260	-1.413	0.106
2.260	-1.443	0.103
2.260	-1.441	0.106
2.260	-1.437	0.096
2.260	-1.427	0.107
2.260	-1.420	0.121
2.260	-1.374	0.100
2.260	-1.447	0.109
2.260	-1.319	0.081
2.260	-1.377	0.107
2.260	-1.455	0.090
2.260	-1.455	0.100
2.260	-1.388	0.094
2.260	-1.440	0.100
2.260	-1.407	0.088
2.260	-1.420	0.109
2.260	-1.399	0.108
2.260	-1.418	0.122
2.260	-1.381	0.124
2.260	-1.441	0.110
2.260	-1.400	0.122
2.260	-1.443	0.109
2.260	-1.433	0.126
2.260	-1.414	0.103
2.260	-1.407	0.119
2.260	-1.361	0.086
2.260	-1.375	0.099
2.260	-1.437	0.096
2.260	-1.406	0.097
2.260	-1.400	0.100
2.260	-1.423	0.131
2.260	-1.423	0.101
2.260	-1.436	0.128
2.260	-1.442	0.097
2.260	-1.360	0.101
2.260	-1.426	0.116
2.260	-1.421	0.102
2.260	-1.365	0.106
2.260	-1.441	0.101
2.260	-1.462	0.106
2.260	-1.424	0.113
2.260	-1.409	0.127
2.260	-1.392	0.121
2.260	-1.401	0.113
2.260	-1.343	0.080
2.260	-1.383	0.115
2.260	-1.406	0.084
2.260	-1.429	0.100
2.260	-1.434	0.116
2.260	-1.434	0.106
2.260	-1.402	0.098
2.260	-1.438	0.088
2.260	-1.441	0.106
2.260	-1.444	0.113
2.260	-1.419	0.125
2.260	-1.438	0.113
2.260	-1.454	0.107
2.260	-1.439	0.092
2.260	-1.468	0.103
2.260	-1.411	0.088
2.260	-1.401	0.113
2.260	-1.429	0.096
2.260	-1.407	0.109
2.260	-1.395	0.095
2.260	-1.369	0.102
2.260	-1.416	0.101
2.260	-1.336	0.081
2.260	-1.433	0.111
2.260	-1.334	0.093
2.260	-1.448	0.110
2.260	-1.364	0.094
2.260	-1.476	0.081
2.260	-1.454	0.100
2.260	-1.447	0.091
2.260	-1.437	0.097
2.260	-1.363	0.112
2.260	-1.434	0.093
2.260	-1.421	0.106
2.260	-1.385	0.093
2.260	-1.452	0.095
2.260	-1.341	0.090
2.260	-1.395	0.110
2.260	-1.430	0.091
2.260	-1.420	0.094
2.260	-1.447	0.093
2.260	-1.383	0.108
2.260	-1.413	0.116
2.260	-1.427	0.097
2.260	-1.461	0.099
2.260	-1.399	0.106
2.260	-1.431	0.090
2.260	-1.446	0.094
2.260	-1.469	0.102
2.260	-1.410	0.118
2.260	-1.465	0.103
2.260	-1.477	0.089
2.260	-1.417	0.090
2.260	-1.425	0.111
2.260	-1.448	0.095
2.260	-1.448	0.094
2.260	-1.410	0.114
2.260	-1.388	0.122
2.260	-1.394	0.110
2.260	-1.449	0.103
2.260	-1.459	0.089
2.260	-1.351	0.099
2.260	-1.400	0.124
2.260	-1.388	0.137
2.260	-1.402	0.093
2.260	-1.405	0.104
2.260	-1.411	0.117
2.260	-1.311	0.090
2.260	-1.372	0.093
2.260	-1.449	0.103
2.260	-1.429	0.113
2.260	-1.447	0.119
2.260	-1.464	0.107
2.260	-1.422	0.111
2.260	-1.399	0.115
2.260	-1.429	0.116
2.260	-1.353	0.115
2.260	-1.413	0.107
2.260	-1.439	0.107
2.260	-1.401	0.090
2.260	-1.330	0.079
2.260	-1.402	0.095
2.260	-1.384	0.101
2.260	-1.393	0.102
2.260	-1.364	0.093
2.260	-1.387	0.126
2.260	-1.387	0.113
2.260	-1.453	0.117
2.260	-1.481	0.103
2.260	-1.446	0.094
2.260	-1.468	0.108
2.260	-1.393	0.098
2.260	-1.435	0.104
2.260	-1.425	0.102
2.260	-1.419	0.101
2.260	-1.336	0.074
2.260	-1.340	0.102
2.260	-1.309	0.069
2.260	-1.345	0.091
2.260	-1.442	0.105
2.260	-1.448	0.106
2.260	-1.398	0.099
2.260	-1.369	0.108
2.260	-1.418	0.109
2.260	-1.385	0.107
2.260	-1.378	0.107
2.260	-1.383	0.121
2.260	-1.460	0.107
2.260	-1.349	0.091
2.260	-1.421	0.115
2.260	-1.410	0.109
2.260	-1.404	0.112
2.260	-1.416	0.107
2.260	-1.338	0.086
2.260	-1.340	0.098
2.260	-1.447	0.102
2.260	-1.446	0.115
2.260	-1.344	0.077
2.260	-1.439	0.105
2.260	-1.441	0.096
2.260	-1.384	0.119
2.260	-1.378	0.098
2.260	-1.364	0.114
2.260	-1.442	0.093
2.260	-1.416	0.110
2.260	-1.457	0.104
2.260	-1.419	0.116
2.260	-1.353	0.121
2.260	-1.436	0.099
2.260	-1.399	0.104
2.260	-1.355	0.102
2.260	-1.458	0.111
2.260	-1.410	0.092
2.260	-1.416	0.109
2.260	-1.347	0.113
2.260	-1.372	0.099
2.260	-1.463	0.111
2.260	-1.381	0.099
2.260	-1.438	0.097
2.260	-1.351	0.085
2.260	-1.409	0.103
2.260	-1.382	0.112
2.260	-1.461	0.100
2.260	-1.398	0.117
2.260	-1.401	0.106
2.260	-1.464	0.116
2.260	-1.412	0.119
2.260	-1.405	0.097
2.260	-1.353	0.103
2.260	-1.308	0.069
2.260	-1.462	0.103
2.260	-1.423	0.110
2.260	-1.417	0.113
2.260	-1.436	0.108
2.260	-1.410	0.106
2.260	-1.420	0.107
2.260	-1.401	0.104
2.260	-1.445	0.109
2.260	-1.411	0.103
2.260	-1.384	0.104
2.260	-1.433	0.087
2.260	-1.328	0.076
2.260	-1.448	0.096
2.260	-1.413	0.094
2.260	-1.442	0.101
2.260	-1.402	0.119
2.260	-1.474	0.097
2.260	-1.409	0.123
2.260	-1.389	0.099
2.260	-1.380	0.090
2.260	-1.404	0.107
2.260	-1.438	0.096
2.260	-1.339	0.092
2.260	-1.402	0.108
