T	<m>	d<m>
2.260	-0.628	0.109
2.260	0.506	0.115
2.260	-0.592	0.106
2.260	-0.671	0.103
2.260	-0.661	0.106
2.260	0.640	0.096
2.260	0.640	0.107
2.260	0.600	0.121
2.260	0.447	0.100
2.260	-0.645	0.109
2.260	0.062	0.081
2.260	0.375	0.107
2.260	0.691	0.090
2.260	0.684	0.100
2.260	-0.510	0.094
2.260	-0.679	0.100
2.260	-0.611	0.088
2.260	-0.601	0.109
2.260	-0.596	0.108
2.260	0.612	0.122
2.260	0.412	0.124
2.260	-0.613	0.110
2.260	0.546	0.122
2.260	0.660	0.109
2.260	0.544	0.126
2.260	0.568	0.103
2.260	-0.485	0.119
2.260	0.012	0.086
2.260	-0.435	0.099
2.260	-0.628	0.096
2.260	0.573	0.097
2.260	-0.552	0.100
2.260	-0.552	0.131
2.260	0.648	0.101
2.260	0.618	0.128
2.260	-0.692	0.097
2.260	-0.458	0.101
2.260	0.586	0.116
2.260	-0.584	0.102
2.260	-0.436	0.106
2.260	-0.655	0.101
2.260	0.709	0.106
2.260	-0.632	0.113
2.260	0.574	0.127
2.260	0.472	0.121
2.260	-0.543	0.113
2.260	-0.258	0.080
2.260	-0.528	0.115
2.260	0.587	0.084
2.260	-0.640	0.100
2.260	-0.560	0.116
2.260	-0.606	0.106
2.260	0.551	0.098
2.260	-0.688	0.088
2.260	-0.601	0.106
2.260	0.655	0.113
2.260	0.381	0.125
2.260	0.618	0.113
2.260	0.670	0.107
2.260	-0.671	0.092
2.260	0.705	0.103
2.260	-0.581	0.088
2.260	-0.457	0.113
2.260	0.657	0.096
2.260	0.584	0.109
2.260	0.508	0.095
2.260	0.463	0.102
2.260	-0.577	0.101
2.260	-0.007	0.081
2.260	0.675	0.111
2.260	-0.220	0.093
2.260	0.635	0.110
2.260	0.443	0.094
2.260	-0.731	0.081
2.260	0.699	0.100
2.260	-0.701	0.091
2.260	-0.662	0.097
2.260	-0.423	0.112
2.260	-0.631	0.093
2.260	0.578	0.106
2.260	0.553	0.093
2.260	-0.668	0.095
2.260	-0.245	0.090
2.260	-0.498	0.110
2.260	0.647	0.091
2.260	0.588	0.094
2.260	-0.682	0.093
2.260	-0.540	0.108
2.260	0.541	0.116
2.260	-0.621	0.097
2.260	0.681	0.099
2.260	0.471	0.106
2.260	0.650	0.090
2.260	-0.676	0.094
2.260	0.721	0.102
2.260	-0.572	0.118
2.260	0.704	0.103
2.260	-0.736	0.089
2.260	0.582	0.090
2.260	-0.595	0.111
2.260	-0.692	0.095
2.260	-0.691	0.094
2.260	-0.508	0.114
2.260	0.484	0.122
2.260	-0.457	0.110
2.260	-0.691	0.103
2.260	-0.711	0.089
2.260	0.395	0.099
2.260	-0.501	0.124
2.260	0.479	0.137
2.260	0.587	0.093
2.260	-0.533	0.104
2.260	0.513	0.117
