T	<m>	d<m>	suscep
5.500	-0.000	0.036	243.868
5.450	0.000	0.034	220.621
5.400	0.000	0.035	232.680
5.350	0.000	0.036	250.783
5.300	-0.000	0.038	279.552
5.250	0.001	0.035	247.953
5.200	-0.001	0.035	240.678
5.150	0.002	0.036	269.289
5.100	0.001	0.036	262.609
5.050	0.001	0.035	247.182
5.000	0.000	0.035	250.911
4.950	-0.001	0.035	256.923
4.900	0.000	0.036	284.543
4.850	-0.001	0.036	283.289
4.800	0.001	0.035	264.663
4.750	0.002	0.036	285.352
4.700	-0.002	0.037	299.018
4.650	0.001	0.036	299.607
4.600	0.001	0.036	294.022
4.550	-0.001	0.037	310.705
4.500	0.001	0.035	290.773
4.450	-0.001	0.037	321.749
4.400	0.000	0.037	322.217
4.350	0.001	0.037	331.020
4.300	-0.000	0.036	322.017
4.250	0.002	0.035	310.003
4.200	-0.001	0.037	341.194
4.150	-0.000	0.037	349.021
4.100	0.000	0.036	329.805
4.050	0.000	0.036	335.502
4.000	-0.000	0.037	360.858
3.950	0.001	0.037	369.374
3.900	-0.000	0.037	362.760
3.850	-0.001	0.037	367.423
3.800	0.001	0.037	378.048
3.750	-0.001	0.037	377.405
3.700	-0.000	0.038	406.547
3.650	0.001	0.037	394.572
3.600	0.001	0.039	439.261
3.550	0.001	0.038	418.536
3.500	-0.002	0.038	442.937
3.450	0.001	0.038	450.212
3.400	-0.001	0.038	434.860
3.350	0.002	0.038	453.130
3.300	0.000	0.038	453.918
3.250	0.000	0.039	492.198
3.200	0.000	0.039	490.186
3.150	0.000	0.039	508.847
3.100	-0.000	0.038	500.141
3.050	0.001	0.040	549.693
3.000	0.000	0.039	524.348
2.950	-0.002	0.040	562.988
2.900	0.000	0.039	549.188
2.850	-0.001	0.040	603.272
2.800	-0.000	0.041	617.471
2.750	-0.002	0.041	638.488
2.700	-0.000	0.041	647.032
2.650	0.000	0.040	647.210
2.600	0.002	0.042	696.329
2.550	-0.001	0.039	641.276
2.500	0.002	0.043	757.691
2.450	-0.001	0.041	716.878
2.400	0.001	0.042	786.453
2.350	-0.002	0.043	811.536
2.300	-0.000	0.042	802.202
2.250	0.000	0.043	854.277
2.200	-0.001	0.044	905.147
2.150	-0.000	0.044	941.155
2.100	0.001	0.044	974.637
2.050	0.002	0.045	1037.125
2.000	-0.002	0.045	1054.091
1.950	-0.003	0.045	1086.830
1.900	-0.002	0.046	1167.475
1.850	0.003	0.048	1283.917
1.800	-0.000	0.047	1300.445
1.750	0.002	0.049	1452.485
1.700	0.002	0.050	1523.118
1.650	0.001	0.051	1626.663
1.600	-0.001	0.050	1645.502
1.550	0.001	0.052	1819.363
1.500	0.002	0.052	1875.714
1.450	0.003	0.052	1959.591
1.400	-0.002	0.056	2375.453
1.350	-0.002	0.057	2507.748
1.300	0.001	0.060	2877.403
1.250	-0.003	0.062	3274.484
1.200	-0.008	0.063	3516.198
1.150	-0.003	0.071	4651.718
1.100	0.002	0.074	5207.435
1.050	-0.006	0.074	5499.558
1.000	0.016	0.086	7764.949
0.950	0.004	0.091	9141.792
0.900	0.017	0.116	15688.704
0.850	-0.007	0.120	17667.615
0.800	0.036	0.181	42755.785
0.750	-0.045	0.303	128142.289
0.700	0.313	0.484	350746.031
0.650	0.803	0.152	37298.840
0.600	0.946	0.023	941.354
0.550	0.974	0.014	369.659
