T	<m>	d<m>
4.500	-0.036	0.050
4.420	-0.034	0.050
4.340	-0.035	0.051
4.260	-0.037	0.050
4.180	-0.038	0.051
4.100	-0.038	0.051
4.020	-0.044	0.052
3.940	-0.042	0.050
3.860	-0.051	0.051
3.780	-0.047	0.052
3.700	-0.051	0.055
3.620	-0.056	0.056
3.540	-0.059	0.056
3.460	-0.058	0.055
3.380	-0.068	0.057
3.300	-0.079	0.058
3.220	-0.083	0.058
3.140	-0.091	0.058
3.060	-0.119	0.060
2.980	-0.130	0.063
2.900	-0.119	0.061
2.820	-0.158	0.067
2.740	-0.210	0.071
2.660	-0.251	0.075
2.580	-0.352	0.078
2.500	-0.453	0.083
2.420	-0.565	0.093
2.340	-0.694	0.089
2.260	-0.782	0.080
2.180	-0.838	0.075
2.100	-0.876	0.068
2.020	-0.905	0.060
1.940	-0.931	0.055
1.860	-0.942	0.054
1.780	0.896	0.077
1.700	-0.944	0.057
1.620	0.967	0.044
1.540	-0.966	0.044
1.460	-0.984	0.034
1.380	0.974	0.046
1.300	-0.989	0.034
1.220	-0.986	0.037
1.140	-0.985	0.040
1.060	-0.894	0.064
0.980	0.993	0.028
0.900	-0.658	0.078
0.820	-0.993	0.027
0.740	0.992	0.028
0.660	-0.995	0.025
0.580	-0.991	0.031
