T	<m>	d<m>
4.500	0.164	0.054
4.420	0.171	0.052
4.340	0.177	0.054
4.260	0.183	0.055
4.180	0.191	0.056
4.100	0.196	0.055
4.020	0.200	0.056
3.940	0.216	0.058
3.860	0.224	0.058
3.780	0.230	0.058
3.700	0.250	0.061
3.620	0.268	0.063
3.540	0.282	0.064
3.460	0.295	0.064
3.380	0.316	0.067
3.300	0.338	0.068
3.220	0.365	0.071
3.140	0.398	0.074
3.060	0.429	0.074
2.980	0.467	0.078
2.900	0.512	0.083
2.820	0.563	0.082
2.740	0.599	0.086
2.660	0.655	0.082
2.580	0.706	0.083
2.500	0.752	0.078
2.420	0.798	0.076
2.340	0.833	0.071
2.260	0.868	0.065
2.180	0.890	0.063
2.100	0.913	0.056
2.020	0.928	0.056
1.940	0.944	0.050
1.860	0.957	0.043
1.780	0.964	0.042
1.700	0.971	0.043
1.620	0.979	0.034
1.540	0.984	0.037
1.460	0.982	0.041
1.380	0.985	0.036
1.300	0.993	0.028
1.220	0.995	0.026
1.140	0.995	0.023
1.060	0.994	0.025
0.980	-0.971	0.044
0.900	0.946	0.052
0.820	0.971	0.039
0.740	0.996	0.026
0.660	0.998	0.020
0.580	0.995	0.024
