T	<m>	d<m>
4.500	-0.001	0.050
4.460	-0.001	0.051
4.420	0.002	0.051
4.380	0.001	0.050
4.340	0.003	0.049
4.300	-0.005	0.050
4.260	-0.001	0.049
4.220	0.002	0.050
4.180	-0.001	0.050
4.140	-0.002	0.050
4.100	0.001	0.051
4.060	0.002	0.052
4.020	-0.001	0.052
3.980	0.003	0.051
3.940	0.000	0.053
3.900	0.000	0.051
3.860	-0.009	0.052
3.820	0.003	0.053
3.780	-0.001	0.052
3.740	-0.001	0.054
3.700	-0.001	0.053
3.660	0.002	0.054
3.620	-0.004	0.052
3.580	0.007	0.054
3.540	-0.009	0.052
3.500	-0.007	0.054
3.460	0.005	0.054
3.420	0.002	0.055
3.380	0.001	0.057
3.340	-0.001	0.054
3.300	0.009	0.056
3.260	-0.003	0.057
3.220	-0.002	0.055
3.180	-0.005	0.056
3.140	0.009	0.056
3.100	0.001	0.056
3.060	-0.004	0.058
3.020	0.005	0.059
2.980	-0.010	0.060
2.940	0.009	0.059
2.900	-0.003	0.060
2.860	0.007	0.061
2.820	0.018	0.058
2.780	0.004	0.062
2.740	0.000	0.067
2.700	0.001	0.065
2.660	0.006	0.067
2.620	-0.041	0.068
2.580	0.047	0.067
2.540	-0.040	0.069
2.500	-0.038	0.078
2.460	0.036	0.075
2.420	0.059	0.070
2.380	0.097	0.085
2.340	-0.204	0.100
2.300	0.604	0.097
2.260	-0.702	0.093
2.220	0.694	0.106
2.180	0.805	0.084
2.140	0.703	0.111
2.100	0.836	0.087
2.060	-0.840	0.083
2.020	0.839	0.089
1.980	-0.776	0.097
1.940	0.771	0.104
1.900	0.925	0.063
1.860	-0.938	0.057
1.820	0.918	0.070
1.780	-0.951	0.051
1.740	-0.952	0.052
1.700	0.525	0.107
1.660	0.964	0.052
1.620	0.914	0.073
1.580	-0.963	0.049
1.540	-0.979	0.039
1.500	0.803	0.092
1.460	-0.977	0.046
1.420	0.478	0.097
1.380	0.962	0.055
1.340	0.976	0.049
1.300	0.976	0.048
1.260	-0.966	0.054
1.220	-0.975	0.047
1.180	0.985	0.039
1.140	0.704	0.087
1.100	-0.961	0.051
1.060	0.982	0.041
1.020	-0.979	0.046
0.980	0.992	0.031
0.940	0.010	0.024
0.900	-0.985	0.040
0.860	-0.984	0.041
0.820	-0.985	0.038
0.780	0.705	0.075
0.740	0.194	0.018
0.700	-0.963	0.045
0.660	0.978	0.039
0.620	-0.094	0.022
0.580	0.199	0.026
0.540	0.242	0.021
