T	<m>	d<m>
4.500	-0.003	0.049
4.420	-0.004	0.050
4.340	-0.001	0.051
4.260	-0.003	0.051
4.180	-0.006	0.052
4.100	-0.006	0.052
4.020	-0.006	0.050
3.940	-0.005	0.053
3.860	-0.006	0.053
3.780	-0.010	0.053
3.700	-0.004	0.054
3.620	-0.008	0.054
3.540	-0.005	0.053
3.460	-0.009	0.055
3.380	-0.002	0.058
3.300	-0.006	0.055
3.220	-0.009	0.056
3.140	0.006	0.058
3.060	-0.011	0.057
2.980	-0.000	0.061
2.900	-0.018	0.061
2.820	-0.013	0.064
2.740	-0.022	0.064
2.660	-0.028	0.064
2.580	0.002	0.070
2.500	-0.114	0.075
2.420	-0.321	0.091
2.340	-0.429	0.096
2.260	-0.662	0.092
2.180	-0.813	0.073
2.100	-0.867	0.067
2.020	-0.908	0.053
1.940	-0.928	0.048
1.860	-0.948	0.040
1.780	-0.961	0.036
1.700	-0.970	0.030
1.620	-0.978	0.027
1.540	-0.984	0.023
1.460	-0.989	0.020
1.380	-0.992	0.016
1.300	-0.995	0.013
1.220	-0.997	0.010
1.140	-0.998	0.008
1.060	-0.999	0.006
0.980	-0.999	0.004
0.900	-1.000	0.003
0.820	-1.000	0.002
0.740	-1.000	0.001
0.660	-1.000	0.001
0.580	-1.000	0.000
