T	<m>	d<m>
4.500	0.002	0.051
4.480	-0.000	0.050
4.460	0.002	0.050
4.440	0.003	0.050
4.420	0.000	0.050
4.400	-0.002	0.050
4.380	0.001	0.050
4.360	0.004	0.050
4.340	0.000	0.051
4.320	0.002	0.051
4.300	0.004	0.051
4.280	0.005	0.050
4.260	-0.001	0.052
4.240	0.001	0.050
4.220	0.001	0.050
4.200	0.003	0.051
4.180	0.005	0.050
4.160	0.004	0.052
4.140	0.002	0.052
4.120	0.003	0.051
4.100	0.003	0.051
4.080	0.004	0.053
4.060	0.002	0.050
4.040	0.001	0.051
4.020	0.004	0.052
4.000	0.003	0.052
3.980	0.004	0.051
3.960	0.006	0.052
3.940	-0.001	0.052
3.920	0.002	0.052
3.900	0.004	0.051
3.880	-0.000	0.052
3.860	0.003	0.052
3.840	0.001	0.051
3.820	0.003	0.052
3.800	0.005	0.053
3.780	0.006	0.052
3.760	0.004	0.054
3.740	0.005	0.052
3.720	0.007	0.053
3.700	-0.003	0.053
3.680	0.001	0.052
3.660	0.004	0.054
3.640	0.003	0.053
3.620	0.003	0.053
3.600	0.004	0.054
3.580	0.005	0.052
3.560	0.001	0.053
3.540	0.002	0.053
3.520	0.001	0.055
3.500	0.001	0.053
3.480	0.006	0.054
3.460	0.004	0.055
3.440	0.004	0.054
3.420	0.006	0.054
3.400	0.003	0.055
3.380	0.011	0.055
3.360	-0.000	0.056
3.340	0.007	0.054
3.320	-0.000	0.056
3.300	0.005	0.055
3.280	-0.001	0.057
3.260	0.004	0.056
3.240	0.008	0.059
3.220	0.007	0.057
3.200	0.004	0.057
3.180	0.006	0.058
3.160	0.006	0.056
3.140	-0.000	0.056
3.120	-0.002	0.058
3.100	0.012	0.058
3.080	0.009	0.056
3.060	-0.000	0.058
3.040	0.001	0.057
3.020	-0.001	0.058
3.000	0.014	0.059
2.980	0.007	0.059
2.960	0.022	0.060
2.940	-0.001	0.060
2.920	0.010	0.060
2.900	0.005	0.060
2.880	0.008	0.064
2.860	-0.002	0.064
2.840	0.016	0.061
2.820	0.019	0.061
2.800	0.001	0.061
2.780	0.034	0.062
2.760	0.003	0.063
2.740	0.037	0.065
2.720	0.025	0.064
2.700	-0.004	0.064
2.680	0.002	0.065
2.660	0.075	0.065
2.640	0.007	0.069
2.620	0.014	0.070
2.600	0.032	0.067
2.580	0.060	0.073
2.560	0.072	0.069
2.540	-0.006	0.070
2.520	0.056	0.067
2.500	-0.016	0.077
2.480	0.020	0.073
2.460	0.101	0.081
2.440	0.158	0.080
2.420	0.002	0.082
2.400	0.017	0.084
2.380	0.201	0.091
2.360	0.256	0.087
2.340	-0.034	0.098
2.320	0.036	0.096
2.300	0.673	0.092
2.280	0.715	0.083
2.260	0.686	0.092
2.240	0.730	0.091
2.220	0.755	0.084
2.200	0.801	0.073
2.180	0.819	0.077
2.160	0.824	0.076
2.140	0.826	0.079
2.120	0.858	0.063
2.100	0.876	0.061
2.080	0.882	0.059
2.060	0.891	0.058
2.040	0.897	0.056
2.020	0.909	0.054
2.000	0.910	0.057
1.980	0.914	0.054
1.960	0.924	0.049
1.940	0.931	0.047
1.920	0.935	0.045
1.900	0.939	0.044
1.880	0.943	0.043
1.860	0.946	0.042
1.840	0.950	0.040
1.820	0.955	0.037
1.800	0.957	0.037
1.780	0.960	0.036
1.760	0.963	0.034
1.740	0.966	0.033
1.720	0.968	0.032
1.700	0.970	0.031
1.680	0.973	0.029
1.660	0.975	0.028
1.640	0.976	0.028
1.620	0.978	0.027
1.600	0.980	0.025
1.580	0.981	0.025
1.560	0.983	0.024
1.540	0.984	0.023
1.520	0.985	0.022
1.500	0.986	0.021
1.480	0.988	0.020
1.460	0.989	0.019
1.440	0.990	0.018
1.420	0.991	0.017
1.400	0.991	0.017
1.380	0.992	0.016
1.360	0.993	0.015
1.340	0.994	0.014
1.320	0.994	0.013
1.300	0.995	0.013
1.280	0.995	0.012
1.260	0.996	0.012
1.240	0.996	0.011
1.220	0.997	0.011
1.200	0.997	0.010
1.180	0.997	0.009
1.160	0.998	0.009
1.140	0.998	0.008
1.120	0.998	0.007
1.100	0.998	0.007
1.080	0.999	0.006
1.060	0.999	0.006
1.040	0.999	0.006
1.020	0.999	0.005
1.000	0.999	0.005
0.980	0.999	0.004
0.960	1.000	0.004
0.940	1.000	0.004
0.920	1.000	0.003
0.900	1.000	0.003
0.880	1.000	0.003
0.860	1.000	0.002
0.840	1.000	0.002
0.820	1.000	0.002
0.800	1.000	0.002
0.780	1.000	0.002
0.760	1.000	0.001
0.740	1.000	0.001
0.720	1.000	0.001
0.700	1.000	0.001
0.680	1.000	0.001
0.660	1.000	0.001
0.640	1.000	0.001
0.620	1.000	0.000
0.600	1.000	0.000
0.580	1.000	0.000
0.560	1.000	0.000
0.540	1.000	0.000
0.520	1.000	0.000
