T	<m>	d<m>
4.500	0.000	0.050
4.420	0.000	0.050
4.340	0.003	0.049
4.260	-0.004	0.051
4.180	0.001	0.051
4.100	-0.002	0.052
4.020	-0.002	0.051
3.940	-0.003	0.052
3.860	-0.000	0.053
3.780	0.004	0.053
3.700	-0.001	0.054
3.620	0.001	0.052
3.540	0.002	0.054
3.460	0.005	0.055
3.380	0.002	0.055
3.300	-0.004	0.055
3.220	0.006	0.056
3.140	0.001	0.057
3.060	-0.004	0.058
2.980	-0.008	0.060
2.900	-0.000	0.062
2.820	0.011	0.063
2.740	0.031	0.062
2.660	0.000	0.067
2.580	-0.035	0.067
2.500	-0.038	0.072
2.420	-0.163	0.087
2.340	-0.326	0.093
2.260	0.264	0.099
2.180	-0.809	0.076
2.100	-0.873	0.064
2.020	-0.904	0.055
1.940	-0.928	0.047
1.860	-0.947	0.041
1.780	-0.959	0.037
1.700	-0.970	0.031
1.620	-0.978	0.027
1.540	-0.984	0.023
1.460	-0.989	0.019
1.380	-0.992	0.016
1.300	-0.995	0.012
1.220	-0.997	0.011
1.140	-0.998	0.008
1.060	-0.999	0.006
0.980	-0.999	0.004
0.900	-1.000	0.003
0.820	-1.000	0.002
0.740	-1.000	0.001
0.660	-1.000	0.001
0.580	-1.000	0.000
