T	<m>	d<m>
4.500	0.001	0.049
4.460	-0.001	0.049
4.420	-0.003	0.050
4.380	-0.001	0.050
4.340	-0.005	0.052
4.300	0.000	0.051
4.260	0.004	0.049
4.220	-0.003	0.051
4.180	-0.001	0.052
4.140	-0.002	0.050
4.100	-0.000	0.050
4.060	-0.003	0.052
4.020	0.004	0.051
3.980	0.004	0.053
3.940	0.000	0.051
3.900	-0.002	0.052
3.860	-0.004	0.054
3.820	-0.003	0.052
3.780	0.002	0.054
3.740	0.008	0.052
3.700	0.000	0.053
3.660	-0.001	0.053
3.620	0.002	0.054
3.580	-0.009	0.052
3.540	0.002	0.055
3.500	0.005	0.057
3.460	-0.004	0.052
3.420	-0.001	0.054
3.380	0.005	0.056
3.340	0.001	0.057
3.300	-0.005	0.056
3.260	-0.005	0.057
3.220	0.003	0.057
3.180	0.010	0.058
3.140	0.003	0.058
3.100	-0.001	0.057
3.060	-0.000	0.059
3.020	-0.020	0.059
2.980	0.018	0.062
2.940	-0.012	0.059
2.900	-0.011	0.063
2.860	0.006	0.062
2.820	-0.031	0.061
2.780	-0.011	0.064
2.740	-0.013	0.061
2.700	0.034	0.063
2.660	-0.015	0.066
2.620	-0.031	0.066
2.580	0.013	0.069
2.540	-0.013	0.072
2.500	-0.007	0.073
2.460	0.058	0.079
2.420	-0.087	0.081
2.380	-0.371	0.088
2.340	0.029	0.097
2.300	0.686	0.089
2.260	0.720	0.084
2.220	0.772	0.082
2.180	0.803	0.077
2.140	0.847	0.069
2.100	0.871	0.062
2.060	0.895	0.057
2.020	0.906	0.055
1.980	0.918	0.050
1.940	0.928	0.050
1.900	0.940	0.043
1.860	0.947	0.043
1.820	0.955	0.039
1.780	0.959	0.037
1.740	0.965	0.035
1.700	0.969	0.032
1.660	0.974	0.029
1.620	0.978	0.026
1.580	0.982	0.025
1.540	0.984	0.023
1.500	0.986	0.021
1.460	0.989	0.019
1.420	0.990	0.018
1.380	0.992	0.016
1.340	0.994	0.014
1.300	0.995	0.013
1.260	0.996	0.011
1.220	0.997	0.010
1.180	0.997	0.009
1.140	0.998	0.008
1.100	0.998	0.007
1.060	0.999	0.006
1.020	0.999	0.005
0.980	0.999	0.004
0.940	1.000	0.004
0.900	1.000	0.003
0.860	1.000	0.002
0.820	1.000	0.002
0.780	1.000	0.001
0.740	1.000	0.001
0.700	1.000	0.001
0.660	1.000	0.000
0.620	1.000	0.000
0.580	1.000	0.001
0.540	1.000	0.000
